evtID,runID,CutID,SieveRowID,SieveColID,bpmX,bpmY,focal_x,focal_y,focal_th,focal_ph,targCalTh,targCalPh,predicted_theta,predicted_phi
0,21755,326,4,4,0.001278,-0.000486,-0.263112,0.001835,-0.011843,0.021984,0.019577,0.007399,0.019126996980048716,0.008156087045790628
1,21755,360,3,9,0.001278,-0.000486,-0.188439,0.018465,-0.004057,-0.008402,-0.000793,-0.013799,-0.0007794210250722244,-0.013800809596432373
2,21755,323,1,4,0.001278,-0.000486,-0.155501,-0.001004,0.005583,0.015709,-0.021162,0.007399,-0.02109414938604459,0.00740047798899468
3,21755,326,4,4,0.001278,-0.000486,-0.16148,-0.001524,-0.011907,0.01885,0.019577,0.007399,0.019489898695610464,0.007383739794022404
4,21755,320,5,3,0.001278,-0.000486,-0.190369,-7.7e-05,-0.014679,0.024917,0.026367,0.00985,0.02630306186620146,0.009852494738879614
5,21755,353,3,8,0.001278,-0.000486,-0.159382,0.011952,-0.003025,-4e-05,-0.000793,-0.00755,-0.0007965469467308139,-0.007481866370653734
6,21755,351,1,8,0.001278,-0.000486,-0.317759,0.01648,0.010391,0.001131,-0.027952,-0.00755,-0.027358477876987308,-0.007560212601674721
7,21755,316,1,3,0.001278,-0.000486,-0.316639,0.00491,0.007669,0.022852,-0.027952,0.00985,-0.027924819325562567,0.009871160524198785
8,21755,325,3,4,0.001278,-0.000486,-0.175792,-0.002664,-0.005601,0.016271,0.005997,0.007399,0.005978930319542997,0.007373718559392728
9,21755,319,4,3,0.001278,-0.000486,-0.163725,-0.00591,-0.008211,0.019353,0.012787,0.00985,0.012788043764885515,0.009838323254371062
10,21755,332,3,5,0.001278,-0.000486,-0.167688,-0.000616,-0.002715,0.012687,-0.000793,0.004948,-0.0008013099304662319,0.004931370109261479
11,21755,326,4,4,0.001278,-0.000486,-0.207039,0.000723,-0.012318,0.019994,0.019577,0.007399,0.019555371662136167,0.007377225862001069
12,21755,347,4,7,0.001278,-0.000486,-0.151766,0.01193,-0.015432,0.002448,0.019577,-0.004425,0.019543245201930404,-0.004428734653629363
13,21755,323,1,4,0.001278,-0.000486,-0.157117,-0.001419,0.005566,0.014821,-0.021162,0.007399,-0.021096460754051805,0.007394016633043066
14,21755,345,2,7,0.001278,-0.000486,-0.163175,0.01043,-0.000112,0.003609,-0.007583,-0.004425,-0.007500525753130205,-0.004440841694304254
15,21755,331,2,5,0.001278,-0.000486,-0.156046,0.000268,0.003727,0.011384,-0.014373,0.004948,-0.014368010160978884,0.004937051591696218
16,21755,319,4,3,0.001278,-0.000486,-0.164184,-0.005338,-0.00806,0.019246,0.012787,0.00985,0.012750576948747039,0.009839562917477451
17,21755,318,3,3,0.001278,-0.000486,-0.213686,-0.005335,-0.002457,0.017077,-0.000793,0.00985,-0.000786199989306624,0.009855822281679139
18,21755,319,4,3,0.001278,-0.000486,-0.2108,-0.003289,-0.008461,0.019442,0.012787,0.00985,0.01262540731113404,0.00983569587697275
19,21755,319,4,3,0.001278,-0.000486,-0.163053,-0.004798,-0.007429,0.019232,0.012787,0.00985,0.012732948089251295,0.009838909492827952
20,21755,337,1,6,0.001278,-0.000486,-0.251388,0.011621,0.011049,0.009165,-0.027952,-0.001301,-0.02798018540488556,-0.0013025891184952343
21,21755,334,5,5,0.001278,-0.000486,-0.175587,0.004953,-0.016912,0.018191,0.026367,0.004948,0.026318686141166836,0.0049135671215481125
22,21755,319,4,3,0.001278,-0.000486,-0.163718,-0.004947,-0.008015,0.018703,0.012787,0.00985,0.012752192182233557,0.009833137286477722
23,21755,319,4,3,0.001278,-0.000486,-0.164384,-0.004878,-0.008031,0.020504,0.012787,0.00985,0.012751789909088984,0.009847662076936103
24,21755,351,1,8,0.001278,-0.000486,-0.388271,0.016143,0.011096,0.001375,-0.027952,-0.00755,-0.027975544973742217,-0.007314688162296079
25,21755,343,0,7,0.001278,-0.000486,-0.176049,0.015155,0.015777,0.006579,-0.034742,-0.004425,-0.034683220903389156,-0.004426167899509892
26,21755,333,4,5,0.001278,-0.000486,-0.47495,0.007936,-0.008911,0.015929,0.012787,0.004948,0.012951205659192055,0.005029100131650921
27,21755,316,1,3,0.001278,-0.000486,-0.151641,-0.00078,0.008924,0.019081,-0.027952,0.00985,-0.027930359705351293,0.009844171814620495
28,21755,332,3,5,0.001278,-0.000486,-0.17872,-0.000544,-0.001974,0.012994,-0.000793,0.004948,-0.0008640474625281058,0.004952804061758798
29,21755,323,1,4,0.001278,-0.000486,-0.155348,-0.001246,0.006121,0.015133,-0.021162,0.007399,-0.021113457070896402,0.007393479376332834
30,21755,324,2,4,0.001278,-0.000486,-0.264932,-0.00119,8.6e-05,0.01516,-0.007583,0.007399,-0.007555939359008335,0.007414239546051249
31,21755,334,5,5,0.001278,-0.000486,-0.244027,0.007053,-0.017716,0.017464,0.026367,0.004948,0.02637061453424394,0.004924467197270133
32,21755,380,2,12,0.001278,-0.000486,-0.168191,0.025043,0.001209,-0.018709,-0.007583,-0.023173,-0.007579036115203053,-0.023176428279839456
33,21755,316,1,3,0.001278,-0.000486,-0.192093,-1.3e-05,0.008255,0.020098,-0.027952,0.00985,-0.02787412569159642,0.009847378503764048
34,21755,339,3,6,0.001278,-0.000486,-0.159516,0.005838,-0.003021,0.00555,-0.000793,-0.001301,-0.0007848204750189325,-0.0013072214442217955
35,21755,326,4,4,0.001278,-0.000486,-0.248433,0.000944,-0.012695,0.020023,0.019577,0.007399,0.0194564625271596,0.0074205610289936885
36,21755,319,4,3,0.001278,-0.000486,-0.163719,-0.004926,-0.008477,0.018613,0.012787,0.00985,0.01278996845940128,0.00983616485609673
37,21755,360,3,9,0.001278,-0.000486,-0.191422,0.018672,-0.003995,-0.007602,-0.000793,-0.013799,-0.0007794057601131499,-0.013803830952383578
38,21755,348,5,7,0.001278,-0.000486,-0.149122,0.015446,-0.025481,0.00378,0.033156,-0.004425,0.033071227138862014,-0.004425642124260776
39,21755,326,4,4,0.001278,-0.000486,-0.15916,0.000331,-0.012394,0.0187,0.019577,0.007399,0.019526470539858565,0.00739812568644993
40,21755,339,3,6,0.001278,-0.000486,-0.158498,0.006659,-0.00262,0.006474,-0.000793,-0.001301,-0.0008005298532225424,-0.001304320192502928
41,21755,324,2,4,0.001278,-0.000486,-0.15765,-0.004437,0.000535,0.012714,-0.007583,0.007399,-0.007595686867716722,0.007417252185405232
42,21755,318,3,3,0.001278,-0.000486,-0.160326,-0.007186,-0.003047,0.016103,-0.000793,0.00985,-0.0007723097542111645,0.00985295396822039
43,21755,366,2,10,0.001278,-0.000486,-0.194543,0.020515,0.00012,-0.012507,-0.007583,-0.016923,-0.007598816810059361,-0.016928495548199862
44,21755,318,3,3,0.001278,-0.000486,-0.160411,-0.005754,-0.001953,0.017559,-0.000793,0.00985,-0.0008112451560009504,0.009857932309387252
45,21755,324,2,4,0.001278,-0.000486,-0.157188,-0.002897,-0.000584,0.01429,-0.007583,0.007399,-0.007493450946640223,0.007381500472547486
46,21755,319,4,3,0.001278,-0.000486,-0.263152,-0.001839,-0.008471,0.021467,0.012787,0.00985,0.012740945210680366,0.009864072475465946
47,21755,326,4,4,0.001278,-0.000486,-0.160598,-0.000467,-0.011668,0.016863,0.019577,0.007399,0.019397702650167048,0.0074099680059589446
48,21755,366,2,10,0.001278,-0.000486,-0.168568,0.020476,0.00208,-0.010667,-0.007583,-0.016923,-0.007692164625041187,-0.016932964383158833
49,21755,345,2,7,0.001278,-0.000486,-0.163035,0.008527,-0.000323,0.001921,-0.007583,-0.004425,-0.007285101062734611,-0.004396398398966994
50,21755,331,2,5,0.001278,-0.000486,-0.157016,0.00026,0.003367,0.011248,-0.014373,0.004948,-0.014393820514669642,0.004938706959364936
51,21755,330,1,5,0.001278,-0.000486,-0.162216,0.004065,0.009766,0.013828,-0.027952,0.004948,-0.027894832484889776,0.004943193242070265
52,21755,339,3,6,0.001278,-0.000486,-0.161027,0.005966,-0.002151,0.005969,-0.000793,-0.001301,-0.0008169286393240327,-0.0013055212148174178
53,21755,326,4,4,0.001278,-0.000486,-0.161013,-0.002304,-0.011378,0.01876,0.019577,0.007399,0.019491360289976,0.0075314228888601065
54,21755,322,0,4,0.001278,-0.000486,-0.154416,0.003872,0.01287,0.017941,-0.034742,0.007399,-0.034659767523407936,0.0073992528195958585
55,21755,374,3,11,0.001278,-0.000486,-0.243151,0.022828,-0.003887,-0.018214,-0.000793,-0.019987,-0.0007914721536508296,-0.020040410629007965
56,21755,326,4,4,0.001278,-0.000486,-0.161184,-0.001086,-0.011738,0.02016,0.019577,0.007399,0.01944786956300959,0.007582500475109555
57,21755,339,3,6,0.001278,-0.000486,-0.159097,0.005397,-0.003573,0.005452,-0.000793,-0.001301,-0.0007596463710797252,-0.001309550791120273
58,21755,337,1,6,0.001278,-0.000486,-0.19298,0.010254,0.010507,0.0092,-0.027952,-0.001301,-0.02786543610272929,-0.0013074655635136878
59,21755,316,1,3,0.001278,-0.000486,-0.150916,-0.001073,0.008675,0.019251,-0.027952,0.00985,-0.02791810652706772,0.009843016174272634
60,21755,368,4,10,0.001278,-0.000486,-0.288035,0.021612,-0.016906,-0.018172,0.019577,-0.016923,0.019579190178774297,-0.01694879005663097
61,21755,317,2,3,0.001278,-0.000486,-0.154335,-0.005517,0.003096,0.015828,-0.014373,0.00985,-0.014404921181267127,0.009854042349616066
62,21755,334,5,5,0.001278,-0.000486,-0.155619,0.00495,-0.016921,0.017131,0.026367,0.004948,0.026326617051381618,0.004938943522574846
63,21755,340,4,6,0.001278,-0.000486,-0.168551,0.006813,-0.0103,0.006603,0.012787,-0.001301,0.012729831680189818,-0.0013074282323941588
64,21755,351,1,8,0.001278,-0.000486,-0.175239,0.015062,0.012891,0.001386,-0.027952,-0.00755,-0.027888224052730948,-0.007541352140833624
65,21755,338,2,6,0.001278,-0.000486,-0.162091,0.006989,0.004723,0.006202,-0.014373,-0.001301,-0.014398410683497787,-0.0013047498559899395
66,21755,359,2,9,0.001278,-0.000486,-0.198238,0.018959,0.004734,-0.004745,-0.014373,-0.013799,-0.014357272331835702,-0.013806625094730407
67,21755,325,3,4,0.001278,-0.000486,-0.161926,-0.002862,-0.005317,0.015289,0.005997,0.007399,0.006198896226123907,0.007392249637632631
68,21755,339,3,6,0.001278,-0.000486,-0.160869,0.005943,-0.003149,0.006806,-0.000793,-0.001301,-0.0007892395460658008,-0.0013056139778200304
69,21755,318,3,3,0.001278,-0.000486,-0.160121,-0.006639,-0.003135,0.016503,-0.000793,0.00985,-0.0007893818674347131,0.009836889410507865
70,21755,323,1,4,0.001278,-0.000486,-0.15463,-0.00117,0.005611,0.016001,-0.021162,0.007399,-0.021093848161399364,0.00742617119976785
71,21755,332,3,5,0.001278,-0.000486,-0.300319,0.002424,-0.003569,0.012641,-0.000793,0.004948,-0.0007805278737578192,0.004935525408654939
72,21755,339,3,6,0.001278,-0.000486,-0.159639,0.005663,-0.003585,0.006301,-0.000793,-0.001301,-0.0007598607608088059,-0.0013058447093499126
73,21755,339,3,6,0.001278,-0.000486,-0.159236,0.005358,-0.003,0.00616,-0.000793,-0.001301,-0.000782012930358178,-0.0013061225527053466
74,21755,332,3,5,0.001278,-0.000486,-0.172209,-0.00146,-0.002254,0.012753,-0.000793,0.004948,-0.0008154150909831515,0.004970194298948627
75,21755,323,1,4,0.001278,-0.000486,-0.153542,-0.001034,0.006252,0.015006,-0.021162,0.007399,-0.02112819068133831,0.0073832461930578575
76,21755,339,3,6,0.001278,-0.000486,-0.268042,0.007058,-0.00413,0.007802,-0.000793,-0.001301,-0.0007700012265559053,-0.0012976692250958877
77,21755,322,0,4,0.001278,-0.000486,-0.15754,0.00537,0.012437,0.017905,-0.034742,0.007399,-0.03462821297580376,0.007425576375680976
78,21755,326,4,4,0.001278,-0.000486,-0.159917,0.000202,-0.011511,0.017429,0.019577,0.007399,0.019344528467627242,0.007394699321594089
79,21755,351,1,8,0.001278,-0.000486,-0.177928,0.016116,0.01334,0.002085,-0.027952,-0.00755,-0.027935388148762286,-0.0075605606398312375
80,21755,333,4,5,0.001278,-0.000486,-0.159461,0.00071,-0.00871,0.014766,0.012787,0.004948,0.012725602689897642,0.0049185906173079275
81,21755,354,4,8,0.001278,-0.000486,-0.15423,0.01372,-0.012498,-0.001494,0.012787,-0.00755,0.012814466404961422,-0.007550181631813757
82,21755,323,1,4,0.001278,-0.000486,-0.349353,0.004713,0.0056,0.017425,-0.021162,0.007399,-0.0211815970542375,0.00736219942336902
83,21755,324,2,4,0.001278,-0.000486,-0.158667,-0.003833,-0.000221,0.013193,-0.007583,0.007399,-0.007566116473753937,0.007384976866887882
84,21755,320,5,3,0.001278,-0.000486,-0.163062,-0.001369,-0.014216,0.0239,0.026367,0.00985,0.026275144598912448,0.009849154477706179
85,21755,318,3,3,0.001278,-0.000486,-0.237698,-0.005025,-0.003201,0.018881,-0.000793,0.00985,-0.0007728345171926776,0.009836441837251186
86,21755,322,0,4,0.001278,-0.000486,-0.157332,0.004592,0.012943,0.018946,-0.034742,0.007399,-0.03463874908629805,0.007434166182065383
87,21755,344,1,7,0.001278,-0.000486,-0.205098,0.011372,0.007218,0.003563,-0.021162,-0.004425,-0.02086890273494646,-0.004434838658198714
88,21755,318,3,3,0.001278,-0.000486,-0.163812,-0.007336,-0.002478,0.015644,-0.000793,0.00985,-0.0007925203826744109,0.009853754832874984
89,21755,326,4,4,0.001278,-0.000486,-0.262489,0.001023,-0.011789,0.020692,0.019577,0.007399,0.01934592632460408,0.0075597497780108824
90,21755,316,1,3,0.001278,-0.000486,-0.339269,0.004892,0.007119,0.022003,-0.027952,0.00985,-0.027852896018885076,0.009900300021399744
91,21755,333,4,5,0.001278,-0.000486,-0.165053,0.000378,-0.008366,0.014508,0.012787,0.004948,0.01271077650017105,0.004952193929057103
92,21755,322,0,4,0.001278,-0.000486,-0.156452,0.004221,0.012652,0.018393,-0.034742,0.007399,-0.03464521380374208,0.007398237154120579
93,21755,338,2,6,0.001278,-0.000486,-0.208187,0.007429,0.004159,0.006284,-0.014373,-0.001301,-0.014398860483197495,-0.0013066211431578267
94,21755,331,2,5,0.001278,-0.000486,-0.158131,0.000219,0.002499,0.011726,-0.014373,0.004948,-0.014190145680913702,0.004940845006785821
95,21755,355,5,8,0.001278,-0.000486,-0.149417,0.016324,-0.020398,-0.001468,0.026367,-0.00755,0.026312413858249784,-0.007555701915407553
96,21755,322,0,4,0.001278,-0.000486,-0.157388,0.00465,0.01314,0.018294,-0.034742,0.007399,-0.0346478201681748,0.007398980553261936
97,21755,353,3,8,0.001278,-0.000486,-0.307437,0.01267,-0.00406,-0.001121,-0.000793,-0.00755,-0.0007863451919547515,-0.0074646029534051195
98,21755,339,3,6,0.001278,-0.000486,-0.443903,0.009753,-0.003545,0.006135,-0.000793,-0.001301,-0.0008140718800859759,-0.0013220268319855677
99,21755,353,3,8,0.001278,-0.000486,-0.299958,0.014014,-0.003442,0.000387,-0.000793,-0.00755,-0.0007931543641461758,-0.007421653644996695
100,21755,319,4,3,0.001278,-0.000486,-0.163787,-0.004674,-0.007792,0.018576,0.012787,0.00985,0.012761298334226012,0.009848694084212184
101,21755,326,4,4,0.001278,-0.000486,-0.161543,-0.001242,-0.011493,0.019695,0.019577,0.007399,0.019454923167359084,0.007332962893997319
102,21755,327,5,4,0.001278,-0.000486,-0.157329,0.005177,-0.021469,0.020604,0.033156,0.007399,0.03305006923619658,0.007170689539634623
103,21755,316,1,3,0.001278,-0.000486,-0.207859,0.000485,0.007577,0.019294,-0.027952,0.00985,-0.0277312197140418,0.009868651002761908
104,21755,316,1,3,0.001278,-0.000486,-0.176381,-0.000477,0.008921,0.018647,-0.027952,0.00985,-0.027912801946513355,0.009908499225275591
105,21755,318,3,3,0.001278,-0.000486,-0.16014,-0.006833,-0.001976,0.017829,-0.000793,0.00985,-0.0008171618519554613,0.009848901812802069
106,21755,334,5,5,0.001278,-0.000486,-0.156719,0.004334,-0.016973,0.016674,0.026367,0.004948,0.02633840829366818,0.004942896885040682
107,21755,341,5,6,0.001278,-0.000486,-0.259621,0.011267,-0.019394,0.008657,0.026367,-0.001301,0.026320584351196885,-0.0012905578423669795
108,21755,326,4,4,0.001278,-0.000486,-0.346361,0.004698,-0.012668,0.022631,0.019577,0.007399,0.019714947789907455,0.008129921974614263
109,21755,319,4,3,0.001278,-0.000486,-0.200833,-0.004477,-0.008048,0.02011,0.012787,0.00985,0.012770622124662623,0.009864269755780697
110,21755,354,4,8,0.001278,-0.000486,-0.219666,0.014051,-0.012321,-0.001268,0.012787,-0.00755,0.012837759655667469,-0.0075486341083887964
111,21755,317,2,3,0.001278,-0.000486,-0.296238,-0.001705,0.002132,0.020194,-0.014373,0.00985,-0.014302169904112816,0.009915600137901492
112,21755,351,1,8,0.001278,-0.000486,-0.174085,0.014609,0.012229,0.003064,-0.027952,-0.00755,-0.027907605632208288,-0.007521955922129564
113,21755,332,3,5,0.001278,-0.000486,-0.159938,-0.000872,-0.003164,0.011584,-0.000793,0.004948,-0.000786984233855037,0.004938847509038169
114,21755,320,5,3,0.001278,-0.000486,-0.162454,-0.000927,-0.01541,0.024451,0.026367,0.00985,0.02637275477172807,0.009843010586337186
115,21755,327,5,4,0.001278,-0.000486,-0.156896,0.004832,-0.021244,0.023097,0.033156,0.007399,0.03313900058856234,0.007391425853711553
116,21755,334,5,5,0.001278,-0.000486,-0.157347,0.004223,-0.016621,0.01533,0.026367,0.004948,0.02627542777918279,0.0049389887499273755
117,21755,325,3,4,0.001278,-0.000486,-0.287923,-3.3e-05,-0.00566,0.017364,0.005997,0.007399,0.006004657378070988,0.00744978099828586
118,21755,344,1,7,0.001278,-0.000486,-0.324704,0.01265,0.008027,0.004106,-0.021162,-0.004425,-0.021437553281430155,-0.004394708790641744
119,21755,318,3,3,0.001278,-0.000486,-0.163871,-0.006859,-0.002162,0.016711,-0.000793,0.00985,-0.000795140367699787,0.009840994665864855
120,21755,326,4,4,0.001278,-0.000486,-0.161436,-0.001153,-0.012026,0.020259,0.019577,0.007399,0.0195680454489775,0.00765100127318874
121,21755,324,2,4,0.001278,-0.000486,-0.15785,-0.003461,0.000628,0.013727,-0.007583,0.007399,-0.007592999390908517,0.0073945913900388405
122,21755,333,4,5,0.001278,-0.000486,-0.159875,0.001225,-0.0092,0.013219,0.012787,0.004948,0.012704730295808986,0.0049295374628854915
123,21755,351,1,8,0.001278,-0.000486,-0.180721,0.015656,0.011561,0.001132,-0.027952,-0.00755,-0.027877455635461956,-0.007588797350763343
124,21755,353,3,8,0.001278,-0.000486,-0.160852,0.012453,-0.003839,-0.001445,-0.000793,-0.00755,-0.000763340387493372,-0.007550909460405819
125,21755,319,4,3,0.001278,-0.000486,-0.178551,-0.004938,-0.008247,0.020366,0.012787,0.00985,0.012787647807272151,0.009847699926467612
126,21755,317,2,3,0.001278,-0.000486,-0.153512,-0.005743,0.002199,0.0177,-0.014373,0.00985,-0.01432507237768732,0.00984525092644617
