evtID,runID,CutID,SieveRowID,SieveColID,bpmX,bpmY,focal_x,focal_y,focal_th,focal_ph,targCalTh,targCalPh,predicted_theta,predicted_phi
0,21783,149,2,7,0.000299,0.000499,0.064029,0.006926,0.001415,0.002127,-0.005976,-0.003429,-0.005990686709992588,-0.003427299117902294
1,21783,158,4,8,0.000299,0.000499,0.072892,0.011683,-0.011628,-0.000414,0.014396,-0.006553,0.014343024289701134,-0.006551403319463134
2,21783,137,4,5,0.000299,0.000499,-0.171755,0.000478,-0.010618,0.014323,0.014396,0.005946,0.014411126903723925,0.005949128310021479
3,21783,159,5,8,0.000299,0.000499,0.113153,0.014908,-0.020643,0.000533,0.027978,-0.006553,0.027866509510204196,-0.006536048371344805
4,21783,121,2,3,0.000299,0.000499,-0.032286,-0.009275,0.002383,0.013202,-0.012767,0.010848,-0.012736397213302553,0.010843164825928397
5,21783,143,3,6,0.000299,0.000499,0.094922,0.00348,-0.002421,0.003439,0.000815,-0.000304,0.0007831353514120565,-0.0003015297943420592
6,21783,124,5,3,0.000299,0.000499,0.102011,-0.007235,-0.014461,0.019055,0.027978,0.010848,0.02783060708316043,0.010849528378457762
7,21783,143,3,6,0.000299,0.000499,0.094502,0.001063,-0.00166,0.003084,0.000815,-0.000304,0.0006458370118025414,-0.0002935212974080059
8,21783,124,5,3,0.000299,0.000499,0.080198,-0.006795,-0.015312,0.018403,0.027978,0.010848,0.02790706296218559,0.010786403756355867
9,21783,127,1,4,0.000299,0.000499,-0.325043,0.004425,0.004144,0.017456,-0.019558,0.008397,-0.019454465887974948,0.008280569833004847
10,21783,123,4,3,0.000299,0.000499,0.091242,-0.011377,-0.007372,0.013711,0.014396,0.010848,0.01431564983795397,0.010842618954484351
11,21783,156,2,8,0.000299,0.000499,0.082991,0.010433,0.005178,-0.000614,-0.012767,-0.006553,-0.012737507291603833,-0.0065461806079838425
12,21783,178,3,11,0.000299,0.000499,0.041541,0.024218,-0.003291,-0.011884,0.000815,-0.018991,0.0006837415903646615,-0.019003043125849217
13,21783,171,3,10,0.000299,0.000499,-0.015836,0.022172,-0.0086,-0.011739,0.007605,-0.015928,0.007595134637085721,-0.01591075977194123
14,21783,130,4,4,0.000299,0.000499,0.097347,-0.006937,-0.010782,0.013573,0.021187,0.008397,0.02097428884007968,0.008395398108405061
15,21783,135,2,5,0.000299,0.000499,0.090829,-0.006579,0.003692,0.007729,-0.012767,0.005946,-0.012757199147017673,0.005936270346865058
