evtID,runID,CutID,SieveRowID,SieveColID,bpmX,bpmY,focal_x,focal_y,focal_th,focal_ph,targCalTh,targCalPh,predicted_theta,predicted_phi
0,21753,348,5,7,0.00028,-0.000484,-0.152291,0.01416,-0.025056,0.004522,0.033164,-0.003409,0.033117797458544374,-0.003419701912207529
1,21753,355,5,8,0.00028,-0.000484,-0.148657,0.015158,-0.020581,-0.00091,0.026373,-0.006534,0.02631231106352061,-0.006539779089507647
2,21753,365,1,10,0.00028,-0.000484,-0.1784,0.020727,0.010335,-0.010146,-0.021162,-0.015909,-0.02115541062084958,-0.015925578074529767
3,21753,316,1,3,0.00028,-0.000484,-0.149828,-0.002955,0.008809,0.018739,-0.027953,0.010867,-0.027939623221755028,0.01086422185471747
4,21753,324,2,4,0.00028,-0.000484,-0.156922,-0.005588,0.000368,0.013969,-0.007581,0.008416,-0.007599580203532241,0.00841843624948524
5,21753,322,0,4,0.00028,-0.000484,-0.279617,0.007599,0.011509,0.018559,-0.034744,0.008416,-0.0345960232662037,0.008300952264107764
6,21753,368,4,10,0.00028,-0.000484,-0.177071,0.022759,-0.018109,-0.014756,0.019582,-0.015909,0.01953715950367041,-0.015911108785076067
7,21753,351,1,8,0.00028,-0.000484,-0.174754,0.015182,0.012347,0.000876,-0.027953,-0.006534,-0.02793959731934592,-0.006534333573654294
8,21753,341,5,6,0.00028,-0.000484,-0.168289,0.010067,-0.019398,0.007124,0.026373,-0.000285,0.026313263340853155,-0.00029898567981945234
9,21753,324,2,4,0.00028,-0.000484,-0.189129,-0.004336,0.000158,0.014455,-0.007581,0.008416,-0.007578875098261051,0.008383645574213006
10,21753,331,2,5,0.00028,-0.000484,-0.157685,-0.001087,0.002584,0.011928,-0.014372,0.005965,-0.014321172522613779,0.0059591004537651315
11,21753,327,5,4,0.00028,-0.000484,-0.158367,0.003359,-0.020311,0.023032,0.033164,0.008416,0.03299382724799216,0.008401923652854748
12,21753,323,1,4,0.00028,-0.000484,-0.166916,-0.00224,0.005973,0.014834,-0.021162,0.008416,-0.02113620552700013,0.008408993904595263
13,21753,351,1,8,0.00028,-0.000484,-0.175261,0.015389,0.013719,0.002172,-0.027953,-0.006534,-0.02799554046941921,-0.006534972781082615
