evtID,runID,CutID,SieveRowID,SieveColID,bpmX,bpmY,focal_x,focal_y,focal_th,focal_ph,targCalTh,targCalPh,predicted_theta,predicted_phi
0,21754,326,4,4,-0.000682,-0.000506,-0.161637,-0.002952,-0.011744,0.019226,0.01955,0.009395,0.019498045643558726,0.00939202717563603
1,21754,323,1,4,-0.000682,-0.000506,-0.153458,-0.002637,0.005138,0.015116,-0.021201,0.009395,-0.02110823179828003,0.009369804931338876
2,21754,362,5,9,-0.000682,-0.000506,-0.149922,0.020499,-0.02175,-0.011592,0.026341,-0.011807,0.02628609410021454,-0.011810014781076461
3,21754,344,1,7,-0.000682,-0.000506,-0.295833,0.010744,0.007107,0.003463,-0.021201,-0.002431,-0.0212031643895898,-0.002435038586554583
4,21754,338,2,6,-0.000682,-0.000506,-0.197978,0.004571,0.003879,0.007116,-0.014409,0.000694,-0.01443348327302374,0.0006964221920497948
5,21754,351,1,8,-0.000682,-0.000506,-0.230062,0.013933,0.011441,0.003033,-0.027992,-0.005557,-0.027928748924750835,-0.005551143010961823
6,21754,344,1,7,-0.000682,-0.000506,-0.171174,0.00899,0.007638,0.004285,-0.021201,-0.002431,-0.021179695293540135,-0.0024278779674204998
7,21754,351,1,8,-0.000682,-0.000506,-0.172262,0.013123,0.011736,0.002719,-0.027992,-0.005557,-0.02798338158754632,-0.005555409210501239
8,21754,339,3,6,-0.000682,-0.000506,-0.160129,0.00342,-0.003638,0.00687,-0.000825,0.000694,-0.0008001901960597024,0.000705301487869292
9,21754,323,1,4,-0.000682,-0.000506,-0.154957,-0.002491,0.005718,0.014061,-0.021201,0.009395,-0.021148812636965886,0.009366755213704892
10,21754,330,1,5,-0.000682,-0.000506,-0.15732,0.002207,0.009959,0.013746,-0.027992,0.006944,-0.02794478228315711,0.006939166254596785
11,21754,338,2,6,-0.000682,-0.000506,-0.161589,0.004055,0.004426,0.0067,-0.014409,0.000694,-0.014427579997573048,0.0006950892329768976
