evtID,runID,CutID,SieveRowID,SieveColID,bpmX,bpmY,focal_x,focal_y,focal_th,focal_ph,targCalTh,targCalPh,predicted_theta,predicted_phi
0,21770,124,5,3,0.001314,-0.000496,0.097176,-0.004714,-0.014476,0.020531,0.026351,0.009814,0.02628756273770705,0.009813695214688778
1,21770,130,4,4,0.001314,-0.000496,0.046134,-0.002455,-0.010547,0.01742,0.019561,0.007363,0.018800459074554965,0.007326926774112508
2,21770,134,1,5,0.001314,-0.000496,-0.078274,0.004708,0.010374,0.015028,-0.027968,0.004913,-0.027891098347026855,0.004919950704788789
3,21770,130,4,4,0.001314,-0.000496,0.035769,-0.004104,-0.010515,0.018168,0.019561,0.007363,0.019369877962162718,0.0074815308034885675
4,21770,143,3,6,0.001314,-0.000496,0.08975,0.004576,-0.001872,0.00731,-0.000808,-0.001336,-0.0007814689579390688,-0.0013242862514744047
5,21770,172,4,10,0.001314,-0.000496,0.113122,0.027147,-0.01717,-0.009724,0.019561,-0.016959,0.019554046681150794,-0.016890153317945078
6,21770,123,4,3,0.001314,-0.000496,0.064374,-0.008787,-0.006522,0.016769,0.012771,0.009814,0.012736270640743896,0.009817888450925238
7,21770,130,4,4,0.001314,-0.000496,0.042369,-0.003153,-0.010341,0.017528,0.019561,0.007363,0.019083138002315536,0.007334570356761105
8,21770,131,5,4,0.001314,-0.000496,0.108653,0.000762,-0.020069,0.021802,0.033141,0.007363,0.033047810837160796,0.00736773393873591
9,21770,138,5,5,0.001314,-0.000496,0.105447,0.001332,-0.015337,0.014916,0.026351,0.004913,0.026189279509708285,0.004909394388960209
10,21770,134,1,5,0.001314,-0.000496,-0.090971,0.004223,0.010338,0.015153,-0.027968,0.004913,-0.0278831819887273,0.004978732009476516
11,21770,162,1,9,0.001314,-0.000496,0.060051,0.022265,0.014176,0.000235,-0.027968,-0.013835,-0.02783383196219802,-0.013828604860464111
12,21770,128,2,4,0.001314,-0.000496,0.092735,-0.006513,0.001503,0.010355,-0.007598,0.007363,-0.007588009335449897,0.007354761226451956
13,21770,128,2,4,0.001314,-0.000496,0.065634,-0.006366,0.000613,0.011314,-0.007598,0.007363,-0.007569132634671405,0.007367538404650986
14,21770,143,3,6,0.001314,-0.000496,0.090081,0.006474,-0.001839,0.005123,-0.000808,-0.001336,-0.0007807146012055455,-0.0013273767963255523
15,21770,143,3,6,0.001314,-0.000496,-0.114765,0.008877,-0.003305,0.007144,-0.000808,-0.001336,-0.0007614253645442659,-0.001324284201473347
16,21770,165,4,9,0.001314,-0.000496,0.103652,0.022018,-0.01107,-0.004056,0.012771,-0.013835,0.012751422036672011,-0.013749736186582595
