evtID,runID,CutID,SieveRowID,SieveColID,bpmX,bpmY,focal_x,focal_y,focal_th,focal_ph,targCalTh,targCalPh,predicted_theta,predicted_phi
0,21781,138,5,5,-0.00066,-0.000494,0.104761,-0.002121,-0.016256,0.013639,0.026361,0.006922,0.026274539530277252,0.006920169078512117
1,21781,151,4,7,-0.00066,-0.000494,0.004906,0.009186,-0.014566,0.002778,0.019569,-0.002453,0.019510815414832905,-0.002464441346091917
2,21781,136,3,5,-0.00066,-0.000494,0.089337,-0.007144,-0.001935,0.007265,-0.000806,0.006922,-0.0007698251702095149,0.006904805923113599
3,21781,138,5,5,-0.00066,-0.000494,0.102971,-0.002029,-0.016044,0.01519,0.026361,0.006922,0.02625929395435378,0.006921193024027161
4,21781,130,4,4,-0.00066,-0.000494,0.099038,-0.00728,-0.011686,0.013602,0.019569,0.009373,0.019568146381061524,0.009386005316628143
5,21781,149,2,7,-0.00066,-0.000494,-0.039506,0.006294,0.001053,0.002721,-0.007598,-0.002453,-0.0076041634602006525,-0.002445963767968351
6,21781,155,1,8,-0.00066,-0.000494,-0.047945,0.014029,0.013338,0.002013,-0.027973,-0.005579,-0.02793843304971233,-0.005574553724727593
7,21781,152,5,7,-0.00066,-0.000494,0.116543,0.011069,-0.024393,0.00654,0.033152,-0.002453,0.03301185724558309,-0.0024287120504595805
8,21781,144,4,6,-0.00066,-0.000494,0.097562,0.004221,-0.009407,0.005411,0.012777,0.000672,0.012732724979287013,0.0006780171279388014
9,21781,119,0,3,-0.00066,-0.000494,0.079397,-0.000881,0.017591,0.018197,-0.041556,0.011824,-0.04146525845862925,0.011831099196569994
10,21781,170,2,10,-0.00066,-0.000494,-0.159234,0.019824,0.000299,-0.0112,-0.007598,-0.014954,-0.00761695257097017,-0.014937453030142933
11,21781,144,4,6,-0.00066,-0.000494,-0.001178,0.003686,-0.010604,0.006669,0.012777,0.000672,0.012750399095239118,0.0006786580752304872
12,21781,137,4,5,-0.00066,-0.000494,0.094796,-0.006467,-0.007566,0.010487,0.012777,0.006922,0.012747244443744421,0.006914642741321586
13,21781,129,3,4,-0.00066,-0.000494,0.004916,-0.008516,-0.004486,0.011858,0.005986,0.009373,0.005962717572401743,0.00939116811787244
14,21781,121,2,3,-0.00066,-0.000494,0.090491,-0.01215,0.004625,0.009954,-0.014389,0.011824,-0.014354470884427428,0.011377299393643625
15,21781,130,4,4,-0.00066,-0.000494,0.077109,-0.008329,-0.011019,0.014559,0.019569,0.009373,0.019665300322230905,0.009333382156910375
16,21781,151,4,7,-0.00066,-0.000494,0.108999,0.007063,-0.014195,0.004241,0.019569,-0.002453,0.019587957009207457,-0.0024442265275865793
17,21781,130,4,4,-0.00066,-0.000494,0.096588,-0.008197,-0.011243,0.015323,0.019569,0.009373,0.019482954288832843,0.009396025066962466
18,21781,126,0,4,-0.00066,-0.000494,-0.217051,0.005073,0.012398,0.019442,-0.034764,0.009373,-0.0346843363950029,0.009398906651767902
19,21781,171,3,10,-0.00066,-0.000494,-0.243868,0.019931,-0.008709,-0.014474,0.005986,-0.014954,0.006016253966663498,-0.015107351093320176
20,21781,129,3,4,-0.00066,-0.000494,0.091342,-0.010573,-0.005233,0.011102,0.005986,0.009373,0.0066535304504213855,0.009377943846629933
