evtID,runID,CutID,SieveRowID,SieveColID,bpmX,bpmY,focal_x,focal_y,focal_th,focal_ph,targCalTh,targCalPh
0,21757,340,4,6,0.000289,-0.001488,-0.354198,0.009094,-0.009835,0.007728,0.011155,-0.000294 
1,21757,318,3,3,0.000289,-0.001488,-0.188641,-0.005831,-0.001433,0.017675,-0.002426,0.010857 
2,21757,347,4,7,0.000289,-0.001488,-0.154509,0.010917,-0.014577,0.003936,0.017946,-0.003419 
3,21757,338,2,6,0.000289,-0.001488,-0.164213,0.006205,0.004064,0.006039,-0.016008,-0.000294 
4,21757,331,2,5,0.000289,-0.001488,-0.159735,-0.001109,0.003901,0.011925,-0.016008,0.005956 
5,21757,326,4,4,0.000289,-0.001488,-0.335457,0.003834,-0.011799,0.019596,0.017946,0.008407 
6,21757,344,1,7,0.000289,-0.001488,-0.394957,0.013376,0.007329,0.004600,-0.022799,-0.003419 
7,21757,345,2,7,0.000289,-0.001488,-0.163819,0.008636,0.000817,0.003035,-0.009217,-0.003419 
8,21757,326,4,4,0.000289,-0.001488,-0.165220,-0.000742,-0.012255,0.018895,0.017946,0.008407 
9,21757,326,4,4,0.000289,-0.001488,-0.163311,-0.001388,-0.011112,0.018250,0.017946,0.008407 
10,21757,332,3,5,0.000289,-0.001488,-0.160785,-0.001068,-0.002576,0.012204,-0.002426,0.005956 
11,21757,316,1,3,0.000289,-0.001488,-0.153465,-0.001589,0.008245,0.018588,-0.029590,0.010857 
12,21757,373,2,11,0.000289,-0.001488,-0.200799,0.021840,0.006238,-0.014567,-0.016008,-0.018982 
13,21757,320,5,3,0.000289,-0.001488,-0.163655,-0.001887,-0.013770,0.023772,0.024737,0.010857 
14,21757,319,4,3,0.000289,-0.001488,-0.168098,-0.006486,-0.007192,0.020009,0.011155,0.010857 
15,21757,355,5,8,0.000289,-0.001488,-0.197247,0.015559,-0.020296,-0.001241,0.024737,-0.006544 
16,21757,317,2,3,0.000289,-0.001488,-0.268491,-0.002601,0.002499,0.018496,-0.016008,0.010857 
17,21757,317,2,3,0.000289,-0.001488,-0.189641,-0.006219,0.003845,0.016655,-0.016008,0.010857 
18,21757,331,2,5,0.000289,-0.001488,-0.158294,-0.001322,0.002935,0.011895,-0.016008,0.005956 
19,21757,344,1,7,0.000289,-0.001488,-0.167747,0.010548,0.007754,0.004464,-0.022799,-0.003419 
20,21757,326,4,4,0.000289,-0.001488,-0.162897,-0.002257,-0.011610,0.019660,0.017946,0.008407 
21,21757,326,4,4,0.000289,-0.001488,-0.224232,0.001337,-0.011958,0.017786,0.017946,0.008407 
22,21757,347,4,7,0.000289,-0.001488,-0.184783,0.010384,-0.014482,0.003210,0.017946,-0.003419 
23,21757,339,3,6,0.000289,-0.001488,-0.160234,0.006048,-0.002063,0.004955,-0.002426,-0.000294 
24,21757,345,2,7,0.000289,-0.001488,-0.162330,0.008363,0.001580,0.001722,-0.009217,-0.003419 
25,21757,331,2,5,0.000289,-0.001488,-0.158506,-0.001182,0.003509,0.012043,-0.016008,0.005956 
26,21757,333,4,5,0.000289,-0.001488,-0.159998,0.000066,-0.008840,0.014229,0.011155,0.005956 
27,21757,359,2,9,0.000289,-0.001488,-0.178169,0.017849,0.005663,-0.006209,-0.016008,-0.012793 
28,21757,327,5,4,0.000289,-0.001488,-0.158579,0.003251,-0.019893,0.022268,0.031527,0.008407 
29,21757,326,4,4,0.000289,-0.001488,-0.370532,0.004462,-0.012401,0.020320,0.017946,0.008407 
30,21757,339,3,6,0.000289,-0.001488,-0.317200,0.008002,-0.002034,0.005629,-0.002426,-0.000294 
31,21757,325,3,4,0.000289,-0.001488,-0.162205,-0.004577,-0.004568,0.015785,0.004364,0.008407 
32,21757,318,3,3,0.000289,-0.001488,-0.160583,-0.007452,-0.001666,0.016018,-0.002426,0.010857 
33,21757,326,4,4,0.000289,-0.001488,-0.162125,-0.001585,-0.011212,0.019023,0.017946,0.008407 
34,21757,327,5,4,0.000289,-0.001488,-0.157786,0.003752,-0.020529,0.023257,0.031527,0.008407 
35,21757,317,2,3,0.000289,-0.001488,-0.155063,-0.006532,0.002570,0.017272,-0.016008,0.010857 
36,21757,319,4,3,0.000289,-0.001488,-0.164834,-0.005814,-0.006836,0.019170,0.011155,0.010857 
37,21757,332,3,5,0.000289,-0.001488,-0.192293,-0.001299,-0.001540,0.012321,-0.002426,0.005956 
38,21757,320,5,3,0.000289,-0.001488,-0.230685,0.000780,-0.014840,0.024229,0.024737,0.010857 
39,21757,326,4,4,0.000289,-0.001488,-0.161483,-0.000574,-0.011840,0.018587,0.017946,0.008407 
40,21757,317,2,3,0.000289,-0.001488,-0.181507,-0.005477,0.002722,0.017306,-0.016008,0.010857 
41,21757,339,3,6,0.000289,-0.001488,-0.186403,0.005627,-0.002377,0.005094,-0.002426,-0.000294 
42,21757,315,0,3,0.000289,-0.001488,-0.158314,0.006535,0.015887,0.022993,-0.043171,0.010857 
43,21757,347,4,7,0.000289,-0.001488,-0.152669,0.010049,-0.014476,0.003141,0.017946,-0.003419 
44,21757,339,3,6,0.000289,-0.001488,-0.160902,0.005494,-0.002536,0.006378,-0.002426,-0.000294 
45,21757,323,1,4,0.000289,-0.001488,-0.156242,-0.001891,0.005825,0.015113,-0.022799,0.008407 
46,21757,352,2,8,0.000289,-0.001488,-0.295352,0.012829,0.004317,0.001039,-0.016008,-0.006544 
47,21757,316,1,3,0.000289,-0.001488,-0.149172,-0.002835,0.009306,0.019342,-0.029590,0.010857 
48,21757,318,3,3,0.000289,-0.001488,-0.160271,-0.007026,-0.002345,0.015806,-0.002426,0.010857 
49,21757,326,4,4,0.000289,-0.001488,-0.196914,-0.001467,-0.011600,0.020466,0.017946,0.008407 
50,21757,340,4,6,0.000289,-0.001488,-0.157415,0.006009,-0.008964,0.007722,0.011155,-0.000294 
51,21757,339,3,6,0.000289,-0.001488,-0.186667,0.004685,-0.002264,0.007228,-0.002426,-0.000294 
52,21757,326,4,4,0.000289,-0.001488,-0.161074,-0.000202,-0.011389,0.017491,0.017946,0.008407 
53,21757,353,3,8,0.000289,-0.001488,-0.161595,0.012020,-0.002853,-0.001660,-0.002426,-0.006544 
54,21757,346,3,7,0.000289,-0.001488,-0.158887,0.009282,-0.006082,0.002173,0.004364,-0.003419 
55,21757,354,4,8,0.000289,-0.001488,-0.155567,0.012998,-0.010288,-0.000443,0.011155,-0.006544 
56,21757,346,3,7,0.000289,-0.001488,-0.157456,0.008947,-0.006032,0.002854,0.004364,-0.003419 
57,21757,316,1,3,0.000289,-0.001488,-0.184116,-0.001488,0.008419,0.019201,-0.029590,0.010857 
58,21757,346,3,7,0.000289,-0.001488,-0.159464,0.009073,-0.006367,0.001180,0.004364,-0.003419 
59,21757,317,2,3,0.000289,-0.001488,-0.303855,-0.000834,0.001982,0.018992,-0.016008,0.010857 
60,21757,331,2,5,0.000289,-0.001488,-0.222637,0.000185,0.003259,0.011934,-0.016008,0.005956 
61,21757,381,3,12,0.000289,-0.001488,-0.170957,0.025933,-0.008072,-0.022391,0.004364,-0.022168 
62,21757,339,3,6,0.000289,-0.001488,-0.160023,0.003615,-0.002018,0.006861,-0.002426,-0.000294 
63,21757,326,4,4,0.000289,-0.001488,-0.161434,-0.000569,-0.010862,0.017434,0.017946,0.008407 
64,21757,324,2,4,0.000289,-0.001488,-0.333081,-0.000153,-0.000327,0.016711,-0.009217,0.008407 
65,21757,325,3,4,0.000289,-0.001488,-0.202900,-0.003865,-0.004493,0.016536,0.004364,0.008407 
66,21757,325,3,4,0.000289,-0.001488,-0.162181,-0.004658,-0.004737,0.014113,0.004364,0.008407 
67,21757,319,4,3,0.000289,-0.001488,-0.165239,-0.005808,-0.007350,0.018331,0.011155,0.010857 
68,21757,317,2,3,0.000289,-0.001488,-0.155785,-0.006167,0.003176,0.016842,-0.016008,0.010857 
69,21757,326,4,4,0.000289,-0.001488,-0.166423,0.000033,-0.011386,0.018018,0.017946,0.008407 
70,21757,319,4,3,0.000289,-0.001488,-0.165181,-0.005567,-0.007321,0.018128,0.011155,0.010857 
71,21757,346,3,7,0.000289,-0.001488,-0.319639,0.010122,-0.005588,0.002873,0.004364,-0.003419 
72,21757,334,5,5,0.000289,-0.001488,-0.174086,0.003473,-0.015676,0.017157,0.024737,0.005956 
73,21757,326,4,4,0.000289,-0.001488,-0.162603,-0.001465,-0.010895,0.018514,0.017946,0.008407 
74,21757,318,3,3,0.000289,-0.001488,-0.163259,-0.007001,-0.002292,0.016438,-0.002426,0.010857 
75,21757,338,2,6,0.000289,-0.001488,-0.162304,0.006393,0.004797,0.006434,-0.016008,-0.000294 
76,21757,323,1,4,0.000289,-0.001488,-0.155754,-0.001495,0.006932,0.014128,-0.022799,0.008407 
77,21757,339,3,6,0.000289,-0.001488,-0.165242,0.005183,-0.002560,0.005045,-0.002426,-0.000294 
78,21757,322,0,4,0.000289,-0.001488,-0.157920,0.004389,0.014123,0.017235,-0.036380,0.008407 
79,21757,318,3,3,0.000289,-0.001488,-0.188097,-0.006471,-0.002948,0.016864,-0.002426,0.010857 
80,21757,316,1,3,0.000289,-0.001488,-0.175932,-0.000929,0.008067,0.019716,-0.029590,0.010857 
81,21757,326,4,4,0.000289,-0.001488,-0.311380,0.002500,-0.012035,0.021173,0.017946,0.008407 
82,21757,320,5,3,0.000289,-0.001488,-0.162232,-0.001325,-0.014159,0.023018,0.024737,0.010857 
83,21757,317,2,3,0.000289,-0.001488,-0.315467,-0.001372,0.002308,0.020345,-0.016008,0.010857 
84,21757,319,4,3,0.000289,-0.001488,-0.165565,-0.005723,-0.006680,0.019180,0.011155,0.010857 
85,21757,331,2,5,0.000289,-0.001488,-0.157557,-0.000880,0.003464,0.011535,-0.016008,0.005956 
86,21757,325,3,4,0.000289,-0.001488,-0.172415,-0.004367,-0.004423,0.015956,0.004364,0.008407 
87,21757,326,4,4,0.000289,-0.001488,-0.161403,-0.002272,-0.011239,0.018563,0.017946,0.008407 
88,21757,345,2,7,0.000289,-0.001488,-0.163524,0.008974,0.001703,0.003472,-0.009217,-0.003419 
89,21757,333,4,5,0.000289,-0.001488,-0.164195,-0.000548,-0.008495,0.014032,0.011155,0.005956 
90,21757,351,1,8,0.000289,-0.001488,-0.271857,0.016246,0.012560,0.001076,-0.029590,-0.006544 
91,21757,326,4,4,0.000289,-0.001488,-0.161838,-0.000694,-0.010976,0.017120,0.017946,0.008407 
92,21757,339,3,6,0.000289,-0.001488,-0.160964,0.004610,-0.001639,0.004968,-0.002426,-0.000294 
93,21757,347,4,7,0.000289,-0.001488,-0.152674,0.010089,-0.013538,0.002485,0.017946,-0.003419 
94,21757,315,0,3,0.000289,-0.001488,-0.156580,0.005361,0.015468,0.022011,-0.043171,0.010857 
95,21757,338,2,6,0.000289,-0.001488,-0.163296,0.006680,0.004510,0.006287,-0.016008,-0.000294 
96,21757,333,4,5,0.000289,-0.001488,-0.161278,-0.000281,-0.008509,0.013704,0.011155,0.005956 
97,21757,326,4,4,0.000289,-0.001488,-0.320765,0.002959,-0.011787,0.018241,0.017946,0.008407 
98,21757,339,3,6,0.000289,-0.001488,-0.160130,0.004521,-0.001679,0.007081,-0.002426,-0.000294 
99,21757,345,2,7,0.000289,-0.001488,-0.164205,0.008263,0.000975,0.002015,-0.009217,-0.003419 
100,21757,326,4,4,0.000289,-0.001488,-0.168731,-0.000563,-0.011204,0.019880,0.017946,0.008407 
101,21757,367,3,10,0.000289,-0.001488,-0.160020,0.021429,-0.007485,-0.013514,0.004364,-0.015918 
102,21757,323,1,4,0.000289,-0.001488,-0.154413,-0.002461,0.006282,0.014605,-0.022799,0.008407 
