evtID,runID,CutID,SieveRowID,SieveColID,bpmX,bpmY,focal_x,focal_y,focal_th,focal_ph,targCalTh,targCalPh
0,21755,326,4,4,0.001278,-0.000486,-0.263112,0.001835,-0.011843,0.021984,0.019577,0.007399 
1,21755,360,3,9,0.001278,-0.000486,-0.188439,0.018465,-0.004057,-0.008402,-0.000793,-0.013799 
2,21755,323,1,4,0.001278,-0.000486,-0.155501,-0.001004,0.005583,0.015709,-0.021162,0.007399 
3,21755,326,4,4,0.001278,-0.000486,-0.161480,-0.001524,-0.011907,0.018850,0.019577,0.007399 
4,21755,320,5,3,0.001278,-0.000486,-0.190369,-0.000077,-0.014679,0.024917,0.026367,0.009850 
5,21755,353,3,8,0.001278,-0.000486,-0.159382,0.011952,-0.003025,-0.000040,-0.000793,-0.007550 
6,21755,351,1,8,0.001278,-0.000486,-0.317759,0.016480,0.010391,0.001131,-0.027952,-0.007550 
7,21755,316,1,3,0.001278,-0.000486,-0.316639,0.004910,0.007669,0.022852,-0.027952,0.009850 
8,21755,325,3,4,0.001278,-0.000486,-0.175792,-0.002664,-0.005601,0.016271,0.005997,0.007399 
9,21755,319,4,3,0.001278,-0.000486,-0.163725,-0.005910,-0.008211,0.019353,0.012787,0.009850 
10,21755,332,3,5,0.001278,-0.000486,-0.167688,-0.000616,-0.002715,0.012687,-0.000793,0.004948 
11,21755,326,4,4,0.001278,-0.000486,-0.207039,0.000723,-0.012318,0.019994,0.019577,0.007399 
12,21755,347,4,7,0.001278,-0.000486,-0.151766,0.011930,-0.015432,0.002448,0.019577,-0.004425 
13,21755,323,1,4,0.001278,-0.000486,-0.157117,-0.001419,0.005566,0.014821,-0.021162,0.007399 
14,21755,345,2,7,0.001278,-0.000486,-0.163175,0.010430,-0.000112,0.003609,-0.007583,-0.004425 
15,21755,331,2,5,0.001278,-0.000486,-0.156046,0.000268,0.003727,0.011384,-0.014373,0.004948 
16,21755,319,4,3,0.001278,-0.000486,-0.164184,-0.005338,-0.008060,0.019246,0.012787,0.009850 
17,21755,318,3,3,0.001278,-0.000486,-0.213686,-0.005335,-0.002457,0.017077,-0.000793,0.009850 
18,21755,319,4,3,0.001278,-0.000486,-0.210800,-0.003289,-0.008461,0.019442,0.012787,0.009850 
19,21755,319,4,3,0.001278,-0.000486,-0.163053,-0.004798,-0.007429,0.019232,0.012787,0.009850 
20,21755,337,1,6,0.001278,-0.000486,-0.251388,0.011621,0.011049,0.009165,-0.027952,-0.001301 
21,21755,334,5,5,0.001278,-0.000486,-0.175587,0.004953,-0.016912,0.018191,0.026367,0.004948 
22,21755,319,4,3,0.001278,-0.000486,-0.163718,-0.004947,-0.008015,0.018703,0.012787,0.009850 
