evtID,runID,CutID,SieveRowID,SieveColID,bpmX,bpmY,focal_x,focal_y,focal_th,focal_ph,targCalTh,targCalPh
0,21785,130,4,4,0.000293,-0.000510,0.071924,-0.005234,-0.011201,0.014726,0.019541,0.008402 
1,21785,126,0,4,0.000293,-0.000510,0.080415,-0.001386,0.014506,0.013587,-0.034786,0.008402 
2,21785,150,3,7,0.000293,-0.000510,-0.159671,0.009830,-0.007474,0.002330,0.005959,-0.003423 
3,21785,143,3,6,0.000293,-0.000510,-0.359828,0.006925,-0.003159,0.002027,-0.000832,-0.000298 
4,21785,121,2,3,0.000293,-0.000510,0.090250,-0.011802,0.003670,0.012078,-0.014413,0.010853 
5,21785,126,0,4,0.000293,-0.000510,0.081410,-0.000916,0.014752,0.013503,-0.034786,0.008402 
6,21785,165,4,9,0.000293,-0.000510,-0.200219,0.019549,-0.012436,-0.009816,0.012750,-0.012798 
7,21785,136,3,5,0.000293,-0.000510,-0.110399,-0.002467,-0.003206,0.011039,-0.000832,0.005951 
8,21785,135,2,5,0.000293,-0.000510,0.045837,-0.005233,0.004873,0.009159,-0.014413,0.005951 
9,21785,151,4,7,0.000293,-0.000510,0.109536,0.008374,-0.015115,0.003446,0.019541,-0.003423 
10,21785,130,4,4,0.000293,-0.000510,0.083855,-0.005351,-0.011180,0.014808,0.019541,0.008402 
11,21785,149,2,7,0.000293,-0.000510,0.069792,0.005730,0.002315,0.002051,-0.007623,-0.003423 
12,21785,126,0,4,0.000293,-0.000510,0.080531,-0.002035,0.014701,0.013207,-0.034786,0.008402 
13,21785,130,4,4,0.000293,-0.000510,0.097604,-0.005978,-0.011149,0.014551,0.019541,0.008402 
14,21785,163,2,9,0.000293,-0.000510,-0.049149,0.017367,0.005805,-0.004440,-0.014413,-0.012798 
15,21785,123,4,3,0.000293,-0.000510,-0.116183,-0.006231,-0.008035,0.019364,0.012750,0.010853 
16,21785,128,2,4,0.000293,-0.000510,0.088279,-0.009530,0.001422,0.009667,-0.007623,0.008402 
17,21785,134,1,5,0.000293,-0.000510,0.082006,-0.001755,0.011152,0.011146,-0.027995,0.005951 
18,21785,138,5,5,0.000293,-0.000510,0.106460,-0.000803,-0.015444,0.014914,0.026331,0.005951 
19,21785,159,5,8,0.000293,-0.000510,0.116266,0.013536,-0.019161,0.001115,0.026331,-0.006548 
20,21785,159,5,8,0.000293,-0.000510,0.116639,0.013998,-0.018972,-0.000185,0.026331,-0.006548 
21,21785,120,1,3,0.000293,-0.000510,0.075240,-0.007333,0.010753,0.013133,-0.027995,0.010853 
22,21785,129,3,4,0.000293,-0.000510,0.093680,-0.010682,-0.004426,0.010756,0.005959,0.008402 
23,21785,143,3,6,0.000293,-0.000510,-0.031388,0.005202,-0.002465,0.005086,-0.000832,-0.000298 
24,21785,127,1,4,0.000293,-0.000510,0.087934,-0.007241,0.007019,0.010585,-0.021204,0.008402 
25,21785,123,4,3,0.000293,-0.000510,0.090498,-0.013083,-0.007065,0.013282,0.012750,0.010853 
26,21785,185,3,12,0.000293,-0.000510,-0.059980,0.027938,-0.007999,-0.018273,0.005959,-0.022172 
27,21785,123,4,3,0.000293,-0.000510,0.041876,-0.011567,-0.007308,0.015224,0.012750,0.010853 
28,21785,124,5,3,0.000293,-0.000510,0.096523,-0.007881,-0.013910,0.018797,0.026331,0.010853 
29,21785,143,3,6,0.000293,-0.000510,0.092818,0.002732,-0.001492,0.004230,-0.000832,-0.000298 
30,21785,137,4,5,0.000293,-0.000510,-0.075557,-0.001898,-0.008802,0.014290,0.012750,0.005951 
31,21785,169,1,10,0.000293,-0.000510,-0.240896,0.021107,0.008581,-0.009769,-0.021204,-0.015922 
32,21785,155,1,8,0.000293,-0.000510,0.066565,0.011966,0.013344,0.003218,-0.027995,-0.006548 
33,21785,130,4,4,0.000293,-0.000510,-0.005425,-0.004131,-0.012725,0.016088,0.019541,0.008402 
34,21785,136,3,5,0.000293,-0.000510,0.092418,-0.007334,-0.001737,0.007899,-0.000832,0.005951 
35,21785,129,3,4,0.000293,-0.000510,-0.220902,-0.001344,-0.005793,0.016349,0.005959,0.008402 
36,21785,169,1,10,0.000293,-0.000510,-0.074711,0.021861,0.009635,-0.006815,-0.021204,-0.015922 
37,21785,130,4,4,0.000293,-0.000510,0.099433,-0.005482,-0.012026,0.014383,0.019541,0.008402 
38,21785,123,4,3,0.000293,-0.000510,0.090957,-0.012534,-0.006816,0.013661,0.012750,0.010853 
39,21785,148,1,7,0.000293,-0.000510,-0.055271,0.008938,0.008859,0.004705,-0.021204,-0.003423 
40,21785,121,2,3,0.000293,-0.000510,0.090377,-0.012386,0.004314,0.009532,-0.014413,0.010853 
41,21785,143,3,6,0.000293,-0.000510,0.091329,0.002323,-0.001525,0.003769,-0.000832,-0.000298 
42,21785,155,1,8,0.000293,-0.000510,0.066572,0.013026,0.014673,0.001907,-0.027995,-0.006548 
43,21785,127,1,4,0.000293,-0.000510,0.011465,-0.004894,0.007069,0.011841,-0.021204,0.008402 
44,21785,131,5,4,0.000293,-0.000510,0.108175,-0.001881,-0.020153,0.020561,0.033122,0.008402 
45,21785,159,5,8,0.000293,-0.000510,0.080784,0.014796,-0.020614,0.000322,0.026331,-0.006548 
46,21785,178,3,11,0.000293,-0.000510,0.063595,0.025052,-0.002989,-0.011449,-0.000832,-0.018986 
47,21785,184,2,12,0.000293,-0.000510,0.078808,0.028104,0.001230,-0.011784,-0.007623,-0.022172 
48,21785,124,5,3,0.000293,-0.000510,-0.012833,-0.004534,-0.014782,0.020855,0.026331,0.010853 
49,21785,143,3,6,0.000293,-0.000510,0.091208,0.002178,-0.000699,0.004341,-0.000832,-0.000298 
50,21785,130,4,4,0.000293,-0.000510,-0.371354,0.005263,-0.012726,0.019287,0.019541,0.008402 
51,21785,128,2,4,0.000293,-0.000510,0.036643,-0.008478,0.000660,0.011675,-0.007623,0.008402 
