evtID,runID,CutID,SieveRowID,SieveColID,bpmX,bpmY,focal_x,focal_y,focal_th,focal_ph,targCalTh,targCalPh
0,21743,253,1,8,0.000290,-0.001503,-0.301587,0.016011,0.012192,0.000739,-0.029615,-0.006545 
1,21743,226,2,4,0.000290,-0.001503,-0.037429,-0.007679,0.001400,0.011046,-0.009243,0.008405 
2,21743,254,2,8,0.000290,-0.001503,-0.283216,0.012550,0.004096,-0.000475,-0.016034,-0.006545 
3,21743,241,3,6,0.000290,-0.001503,-0.249758,0.006722,-0.003607,0.006061,-0.002452,-0.000295 
4,21743,243,5,6,0.000290,-0.001503,-0.163223,0.010093,-0.018091,0.009351,0.024711,-0.000295 
5,21743,249,4,7,0.000290,-0.001503,-0.107384,0.009917,-0.013985,0.004777,0.017920,-0.003420 
6,21743,256,4,8,0.000290,-0.001503,-0.028141,0.011377,-0.010454,-0.000687,0.011129,-0.006545 
7,21743,228,4,4,0.000290,-0.001503,-0.036367,-0.005257,-0.010394,0.017200,0.017920,0.008405 
8,21743,246,1,7,0.000290,-0.001503,-0.049027,0.010132,0.008467,0.003892,-0.022825,-0.003420 
9,21743,222,5,3,0.000290,-0.001503,-0.036545,-0.005060,-0.013347,0.022172,0.024711,0.010856 
10,21743,219,2,3,0.000290,-0.001503,-0.051218,-0.009734,0.003736,0.014594,-0.016034,0.010856 
11,21743,219,2,3,0.000290,-0.001503,-0.084817,-0.008103,0.003519,0.014707,-0.016034,0.010856 
12,21743,229,5,4,0.000290,-0.001503,-0.171960,0.004336,-0.020728,0.023943,0.031502,0.008405 
13,21743,248,3,7,0.000290,-0.001503,-0.150911,0.008575,-0.005741,0.003283,0.004339,-0.003420 
14,21743,222,5,3,0.000290,-0.001503,-0.035785,-0.004946,-0.013982,0.020136,0.024711,0.010856 
15,21743,228,4,4,0.000290,-0.001503,-0.160942,-0.000877,-0.011015,0.017442,0.017920,0.008405 
16,21743,234,3,5,0.000290,-0.001503,-0.038220,-0.004075,-0.001700,0.010040,-0.002452,0.005954 
17,21743,275,2,11,0.000290,-0.001503,-0.287978,0.021158,0.005605,-0.016102,-0.016034,-0.018983 
18,21743,256,4,8,0.000290,-0.001503,-0.030281,0.012479,-0.009678,-0.000971,0.011129,-0.006545 
19,21743,276,3,11,0.000290,-0.001503,-0.041931,0.024433,-0.001667,-0.013156,-0.002452,-0.018983 
20,21743,233,2,5,0.000290,-0.001503,-0.063236,-0.002666,0.003892,0.011416,-0.016034,0.005954 
21,21743,221,4,3,0.000290,-0.001503,-0.040640,-0.009266,-0.007092,0.016857,0.011129,0.010856 
22,21743,221,4,3,0.000290,-0.001503,-0.099891,-0.008230,-0.006363,0.017766,0.011129,0.010856 
23,21743,228,4,4,0.000290,-0.001503,-0.337452,0.004339,-0.011416,0.019842,0.017920,0.008405 
24,21743,224,0,4,0.000290,-0.001503,-0.040123,0.000648,0.013511,0.015239,-0.036406,0.008405 
25,21743,228,4,4,0.000290,-0.001503,-0.037314,-0.005031,-0.010852,0.016764,0.017920,0.008405 
26,21743,228,4,4,0.000290,-0.001503,-0.034519,-0.004102,-0.011454,0.013819,0.017920,0.008405 
27,21743,232,1,5,0.000290,-0.001503,-0.057498,0.000663,0.010354,0.011886,-0.029615,0.005954 
28,21743,218,1,3,0.000290,-0.001503,-0.172818,0.000266,0.009141,0.019112,-0.029615,0.010856 
29,21743,227,3,4,0.000290,-0.001503,-0.038565,-0.006764,-0.004207,0.012427,0.004339,0.008405 
30,21743,228,4,4,0.000290,-0.001503,-0.038649,-0.005265,-0.011015,0.017995,0.017920,0.008405 
31,21743,233,2,5,0.000290,-0.001503,-0.257289,0.002088,0.004220,0.013405,-0.016034,0.005954 
32,21743,228,4,4,0.000290,-0.001503,-0.036901,-0.004732,-0.009880,0.016978,0.017920,0.008405 
33,21743,222,5,3,0.000290,-0.001503,-0.037587,-0.004865,-0.012860,0.021094,0.024711,0.010856 
34,21743,234,3,5,0.000290,-0.001503,-0.038976,-0.003890,-0.001298,0.009902,-0.002452,0.005954 
35,21743,219,2,3,0.000290,-0.001503,-0.044892,-0.008691,0.003219,0.014744,-0.016034,0.010856 
36,21743,253,1,8,0.000290,-0.001503,-0.060372,0.014691,0.013987,0.002367,-0.029615,-0.006545 
37,21743,254,2,8,0.000290,-0.001503,-0.060674,0.012060,0.004881,-0.000088,-0.016034,-0.006545 
38,21743,257,5,8,0.000290,-0.001503,-0.029362,0.014618,-0.019941,0.000439,0.024711,-0.006545 
39,21743,221,4,3,0.000290,-0.001503,-0.040077,-0.008360,-0.007528,0.016441,0.011129,0.010856 
40,21743,283,3,12,0.000290,-0.001503,-0.061696,0.027450,-0.007758,-0.018784,0.004339,-0.022169 
41,21743,228,4,4,0.000290,-0.001503,-0.035799,-0.004481,-0.010502,0.016751,0.017920,0.008405 
42,21743,225,1,4,0.000290,-0.001503,-0.222239,0.003662,0.005918,0.018121,-0.022825,0.008405 
43,21743,241,3,6,0.000290,-0.001503,-0.063391,0.003240,-0.001944,0.006272,-0.002452,-0.000295 
44,21743,228,4,4,0.000290,-0.001503,-0.036173,-0.002925,-0.011725,0.016870,0.017920,0.008405 
45,21743,276,3,11,0.000290,-0.001503,-0.071580,0.023506,-0.002371,-0.012959,-0.002452,-0.018983 
46,21743,241,3,6,0.000290,-0.001503,-0.038894,0.003030,-0.001203,0.006676,-0.002452,-0.000295 
47,21743,236,5,5,0.000290,-0.001503,-0.058133,0.001027,-0.016506,0.016753,0.024711,0.005954 
48,21743,234,3,5,0.000290,-0.001503,-0.131837,-0.002974,-0.001282,0.011146,-0.002452,0.005954 
49,21743,228,4,4,0.000290,-0.001503,-0.035988,-0.004277,-0.010259,0.015895,0.017920,0.008405 
50,21743,235,4,5,0.000290,-0.001503,-0.053727,-0.002269,-0.008274,0.010970,0.011129,0.005954 
