evtID,runID,CutID,SieveRowID,SieveColID,bpmX,bpmY,focal_x,focal_y,focal_th,focal_ph,targCalTh,targCalPh
0,21772,136,3,5,0.000295,-0.001499,0.088761,-0.004970,-0.000733,0.010484,-0.002445,0.005949 
1,21772,145,5,6,0.000295,-0.001499,0.108723,0.008070,-0.016290,0.009903,0.024718,-0.000300 
2,21772,126,0,4,0.000295,-0.001499,-0.300792,0.011775,0.012424,0.022475,-0.036399,0.008400 
3,21772,129,3,4,0.000295,-0.001499,0.088943,-0.007062,-0.003552,0.012338,0.004346,0.008400 
4,21772,121,2,3,0.000295,-0.001499,0.088322,-0.009856,0.003986,0.012556,-0.016027,0.010851 
5,21772,137,4,5,0.000295,-0.001499,0.084199,-0.002025,-0.007161,0.012204,0.011136,0.005949 
6,21772,123,4,3,0.000295,-0.001499,0.086265,-0.010418,-0.005608,0.015262,0.011136,0.010851 
7,21772,134,1,5,0.000295,-0.001499,0.060057,0.000929,0.011099,0.012393,-0.029608,0.005949 
8,21772,164,3,9,0.000295,-0.001499,-0.411196,0.020271,-0.002658,-0.009477,-0.002445,-0.012800 
9,21772,143,3,6,0.000295,-0.001499,0.089516,0.002641,-0.000582,0.006819,-0.002445,-0.000300 
10,21772,155,1,8,0.000295,-0.001499,0.044419,0.016738,0.014552,0.005229,-0.029608,-0.006550 
11,21772,130,4,4,0.000295,-0.001499,0.093442,-0.005839,-0.009609,0.015831,0.017927,0.008400 
12,21772,137,4,5,0.000295,-0.001499,0.097196,-0.002736,-0.007598,0.013004,0.011136,0.005949 
13,21772,165,4,9,0.000295,-0.001499,0.075745,0.021665,-0.010753,-0.005328,0.011136,-0.012800 
14,21772,157,3,8,0.000295,-0.001499,0.086496,0.012044,-0.001460,0.002154,-0.002445,-0.006550 
15,21772,165,4,9,0.000295,-0.001499,0.076745,0.021510,-0.010979,-0.004261,0.011136,-0.012800 
16,21772,144,4,6,0.000295,-0.001499,0.098626,0.005580,-0.008762,0.008285,0.011136,-0.000300 
17,21772,130,4,4,0.000295,-0.001499,0.094358,-0.004224,-0.009409,0.016332,0.017927,0.008400 
18,21772,129,3,4,0.000295,-0.001499,0.089847,-0.007046,-0.003715,0.013296,0.004346,0.008400 
19,21772,142,2,6,0.000295,-0.001499,-0.326836,0.011399,0.004492,0.010213,-0.016027,-0.000300 
20,21772,134,1,5,0.000295,-0.001499,0.082609,0.000713,0.011858,0.012206,-0.029608,0.005949 
21,21772,130,4,4,0.000295,-0.001499,0.095547,-0.004447,-0.009576,0.015795,0.017927,0.008400 
22,21772,123,4,3,0.000295,-0.001499,0.087399,-0.010183,-0.006289,0.016016,0.011136,0.010851 
23,21772,130,4,4,0.000295,-0.001499,0.095054,-0.004070,-0.010422,0.015727,0.017927,0.008400 
24,21772,148,1,7,0.000295,-0.001499,-0.031257,0.012355,0.009781,0.006295,-0.022817,-0.003425 
25,21772,150,3,7,0.000295,-0.001499,-0.362987,0.013853,-0.006230,0.005950,0.004346,-0.003425 
26,21772,138,5,5,0.000295,-0.001499,0.103344,0.001192,-0.014143,0.016830,0.024718,0.005949 
27,21772,136,3,5,0.000295,-0.001499,0.087684,-0.004730,-0.000444,0.009715,-0.002445,0.005949 
28,21772,137,4,5,0.000295,-0.001499,0.092880,-0.002848,-0.007796,0.012296,0.011136,0.005949 
29,21772,131,5,4,0.000295,-0.001499,0.043451,0.002027,-0.020149,0.022064,0.031509,0.008400 
30,21772,130,4,4,0.000295,-0.001499,0.096077,-0.004346,-0.010495,0.014473,0.017927,0.008400 
31,21772,130,4,4,0.000295,-0.001499,-0.297823,0.005400,-0.012129,0.021878,0.017927,0.008400 
32,21772,129,3,4,0.000295,-0.001499,0.089623,-0.007373,-0.003260,0.013286,0.004346,0.008400 
33,21772,156,2,8,0.000295,-0.001499,0.023013,0.014306,0.006407,0.002040,-0.016027,-0.006550 
34,21772,131,5,4,0.000295,-0.001499,-0.006953,0.002424,-0.019422,0.022835,0.031509,0.008400 
35,21772,130,4,4,0.000295,-0.001499,-0.310529,0.005812,-0.011942,0.021130,0.017927,0.008400 
36,21772,165,4,9,0.000295,-0.001499,0.077352,0.021987,-0.011544,-0.005333,0.011136,-0.012800 
37,21772,150,3,7,0.000295,-0.001499,0.090140,0.005028,-0.004169,-0.000287,0.004346,-0.003425 
38,21772,123,4,3,0.000295,-0.001499,0.087397,-0.009474,-0.006021,0.015326,0.011136,0.010851 
39,21772,130,4,4,0.000295,-0.001499,0.093730,-0.005662,-0.009780,0.016990,0.017927,0.008400 
40,21772,137,4,5,0.000295,-0.001499,-0.495508,0.011073,-0.008663,0.018894,0.011136,0.005949 
41,21772,144,4,6,0.000295,-0.001499,0.003702,0.006791,-0.009205,0.007614,0.011136,-0.000300 
42,21772,141,1,6,0.000295,-0.001499,-0.224279,0.013338,0.011092,0.010421,-0.029608,-0.000300 
43,21772,129,3,4,0.000295,-0.001499,0.089145,-0.008115,-0.003136,0.012710,0.004346,0.008400 
44,21772,128,2,4,0.000295,-0.001499,0.087780,-0.006278,0.001588,0.012434,-0.009236,0.008400 
45,21772,157,3,8,0.000295,-0.001499,0.063213,0.011606,-0.001782,0.001967,-0.002445,-0.006550 
46,21772,164,3,9,0.000295,-0.001499,0.085774,0.019617,-0.001356,-0.002043,-0.002445,-0.012800 
47,21772,128,2,4,0.000295,-0.001499,0.089617,-0.007195,0.002337,0.010197,-0.009236,0.008400 
48,21772,143,3,6,0.000295,-0.001499,-0.100925,0.007055,-0.002423,0.007754,-0.002445,-0.000300 
49,21772,149,2,7,0.000295,-0.001499,-0.398542,0.013928,0.000012,0.005108,-0.009236,-0.003425 
50,21772,144,4,6,0.000295,-0.001499,0.058121,0.006356,-0.008169,0.006970,0.011136,-0.000300 
51,21772,145,5,6,0.000295,-0.001499,-0.013424,0.009907,-0.018090,0.009873,0.024718,-0.000300 
52,21772,130,4,4,0.000295,-0.001499,0.095124,-0.004915,-0.010298,0.016814,0.017927,0.008400 
53,21772,143,3,6,0.000295,-0.001499,-0.309939,0.010017,-0.002116,0.008294,-0.002445,-0.000300 
54,21772,136,3,5,0.000295,-0.001499,-0.370450,0.006685,-0.002950,0.017582,-0.002445,0.005949 
55,21772,130,4,4,0.000295,-0.001499,-0.053842,-0.001061,-0.011441,0.017478,0.017927,0.008400 
56,21772,165,4,9,0.000295,-0.001499,0.091075,0.017668,-0.008934,-0.010487,0.011136,-0.012800 
57,21772,150,3,7,0.000295,-0.001499,0.047983,0.009129,-0.005240,0.004995,0.004346,-0.003425 
58,21772,163,2,9,0.000295,-0.001499,-0.022973,0.020931,0.006223,-0.002031,-0.016027,-0.012800 
59,21772,121,2,3,0.000295,-0.001499,0.090908,-0.011504,0.004716,0.012657,-0.016027,0.010851 
60,21772,130,4,4,0.000295,-0.001499,0.094769,-0.004652,-0.010444,0.016170,0.017927,0.008400 
61,21772,129,3,4,0.000295,-0.001499,0.076199,-0.007078,-0.002967,0.012788,0.004346,0.008400 
62,21772,130,4,4,0.000295,-0.001499,-0.234513,0.005083,-0.014342,0.021322,0.017927,0.008400 
63,21772,149,2,7,0.000295,-0.001499,0.070472,0.009155,0.002291,0.005368,-0.009236,-0.003425 
64,21772,144,4,6,0.000295,-0.001499,0.099401,0.006244,-0.009004,0.006573,0.011136,-0.000300 
65,21772,130,4,4,0.000295,-0.001499,0.092826,-0.005533,-0.010017,0.017223,0.017927,0.008400 
66,21772,137,4,5,0.000295,-0.001499,0.093694,-0.001966,-0.007667,0.012337,0.011136,0.005949 
67,21772,123,4,3,0.000295,-0.001499,0.088019,-0.010777,-0.005674,0.015646,0.011136,0.010851 
68,21772,131,5,4,0.000295,-0.001499,0.106325,0.000456,-0.019492,0.020206,0.031509,0.008400 
69,21772,143,3,6,0.000295,-0.001499,-0.004067,0.006114,-0.001467,0.006973,-0.002445,-0.000300 
70,21772,128,2,4,0.000295,-0.001499,0.090201,-0.007984,0.002126,0.011295,-0.009236,0.008400 
