evtID,runID,CutID,SieveRowID,SieveColID,bpmX,bpmY,focal_x,focal_y,focal_th,focal_ph,targCalTh,targCalPh
0,21752,253,1,8,0.000303,-0.000496,-0.052838,0.013111,0.012457,0.002679,-0.027971,-0.006558 
1,21752,241,3,6,0.000303,-0.000496,-0.033391,0.003995,-0.003255,0.004259,-0.000808,-0.000308 
2,21752,226,2,4,0.000303,-0.000496,-0.104670,-0.005385,-0.000067,0.012581,-0.007599,0.008392 
3,21752,224,0,4,0.000303,-0.000496,-0.042891,0.000509,0.013454,0.016654,-0.034762,0.008392 
4,21752,228,4,4,0.000303,-0.000496,-0.032139,-0.004038,-0.011653,0.015204,0.019564,0.008392 
5,21752,235,4,5,0.000303,-0.000496,-0.039919,-0.002168,-0.008516,0.012914,0.012773,0.005942 
6,21752,227,3,4,0.000303,-0.000496,-0.036029,-0.007141,-0.004518,0.013271,0.005982,0.008392 
7,21752,241,3,6,0.000303,-0.000496,-0.060863,0.003908,-0.003390,0.005649,-0.000808,-0.000308 
8,21752,228,4,4,0.000303,-0.000496,-0.033931,-0.003792,-0.011617,0.017921,0.019564,0.008392 
9,21752,228,4,4,0.000303,-0.000496,-0.034964,-0.005078,-0.011050,0.018325,0.019564,0.008392 
10,21752,219,2,3,0.000303,-0.000496,-0.031679,-0.009059,0.002976,0.013456,-0.014390,0.010843 
11,21752,246,1,7,0.000303,-0.000496,-0.046115,0.009019,0.009079,0.003775,-0.021181,-0.003433 
12,21752,262,3,9,0.000303,-0.000496,-0.035215,0.017991,-0.002313,-0.006107,-0.000808,-0.012807 
13,21752,241,3,6,0.000303,-0.000496,-0.072974,0.003558,-0.001721,0.005540,-0.000808,-0.000308 
14,21752,236,5,5,0.000303,-0.000496,-0.076648,0.002661,-0.016889,0.016886,0.026355,0.005942 
15,21752,228,4,4,0.000303,-0.000496,-0.031767,-0.002735,-0.011035,0.016064,0.019564,0.008392 
16,21752,226,2,4,0.000303,-0.000496,-0.036881,-0.007163,0.000470,0.012332,-0.007599,0.008392 
17,21752,232,1,5,0.000303,-0.000496,-0.039244,0.000997,0.010291,0.012945,-0.027971,0.005942 
18,21752,225,1,4,0.000303,-0.000496,-0.249122,0.000679,0.005644,0.017146,-0.021181,0.008392 
19,21752,222,5,3,0.000303,-0.000496,-0.034483,-0.004571,-0.014442,0.023188,0.026355,0.010843 
20,21752,218,1,3,0.000303,-0.000496,-0.030113,-0.006016,0.008920,0.014750,-0.027971,0.010843 
21,21752,246,1,7,0.000303,-0.000496,-0.046134,0.009664,0.008417,0.003554,-0.021181,-0.003433 
22,21752,236,5,5,0.000303,-0.000496,-0.027269,0.000675,-0.017008,0.016034,0.026355,0.005942 
23,21752,276,3,11,0.000303,-0.000496,-0.039184,0.024598,-0.002907,-0.013269,-0.000808,-0.018996 
24,21752,241,3,6,0.000303,-0.000496,-0.377056,0.009082,-0.003621,0.008271,-0.000808,-0.000308 
