evtID,runID,CutID,SieveRowID,SieveColID,bpmX,bpmY,focal_x,focal_y,focal_th,focal_ph,targCalTh,targCalPh
0,21756,318,3,3,0.000299,0.000490,-0.158637,-0.007226,-0.002856,0.016712,0.000799,0.010847 
1,21756,338,2,6,0.000299,0.000490,-0.331563,0.008953,0.002714,0.008305,-0.012783,-0.000304 
2,21756,333,4,5,0.000299,0.000490,-0.158704,0.000209,-0.010090,0.014202,0.014381,0.005945 
3,21756,331,2,5,0.000299,0.000490,-0.182008,-0.000351,0.002106,0.012490,-0.012783,0.005945 
4,21756,334,5,5,0.000299,0.000490,-0.154984,0.003429,-0.017789,0.017699,0.027962,0.005945 
5,21756,352,2,8,0.000299,0.000490,-0.163715,0.012119,0.004093,0.000066,-0.012783,-0.006554 
6,21756,319,4,3,0.000299,0.000490,-0.162847,-0.005507,-0.009004,0.019136,0.014381,0.010847 
7,21756,326,4,4,0.000299,0.000490,-0.159724,-0.001448,-0.012428,0.019306,0.021171,0.008396 
8,21756,339,3,6,0.000299,0.000490,-0.157825,0.005678,-0.003146,0.005772,0.000799,-0.000304 
9,21756,367,3,10,0.000299,0.000490,-0.409098,0.017997,-0.008766,-0.017949,0.007590,-0.015928 
10,21756,361,4,9,0.000299,0.000490,-0.151168,0.018897,-0.012793,-0.008497,0.014381,-0.012803 
11,21756,326,4,4,0.000299,0.000490,-0.159166,-0.000891,-0.012296,0.018123,0.021171,0.008396 
12,21756,339,3,6,0.000299,0.000490,-0.158395,0.004303,-0.003487,0.006120,0.000799,-0.000304 
13,21756,322,0,4,0.000299,0.000490,-0.154188,0.003416,0.011828,0.016820,-0.033155,0.008396 
14,21756,348,5,7,0.000299,0.000490,-0.176359,0.014838,-0.026610,0.002172,0.034753,-0.003429 
15,21756,315,0,3,0.000299,0.000490,-0.153111,0.005166,0.015244,0.022372,-0.039946,0.010847 
16,21756,319,4,3,0.000299,0.000490,-0.187919,-0.005091,-0.008776,0.019697,0.014381,0.010847 
17,21756,323,1,4,0.000299,0.000490,-0.153522,-0.002343,0.005180,0.014929,-0.019573,0.008396 
