evtID,runID,CutID,SieveRowID,SieveColID,bpmX,bpmY,focal_x,focal_y,focal_th,focal_ph,targCalTh,targCalPh,predicted_theta,predicted_phi
0,21771,151,4,7,0.000296,0.000497,0.110285,0.011177,-0.01427,0.005031,0.021182,-0.003426,0.019862537126755342,-0.003538658915203996
1,21771,121,2,3,0.000296,0.000497,0.095817,-0.010487,0.003501,0.012499,-0.012772,0.01085,-0.013154205866158009,0.010780984506709501
2,21771,122,3,3,0.000296,0.000497,0.008382,-0.00909,-0.002753,0.016502,0.00081,0.01085,0.00032310896993692495,0.010751334586529993
3,21771,135,2,5,0.000296,0.000497,-0.263077,0.006283,0.001077,0.017104,-0.012772,0.005948,-0.01333769979828503,0.006281928115640767
4,21771,144,4,6,0.000296,0.000497,0.104561,0.005901,-0.010462,0.007145,0.014392,-0.000301,0.014298187365056947,-0.00032685149199096486
5,21771,136,3,5,0.000296,0.000497,0.094562,-0.004843,-0.002588,0.010351,0.00081,0.005948,0.0008170362098098849,0.005964479234535247
6,21771,120,1,3,0.000296,0.000497,0.09491,-0.006831,0.009881,0.01626,-0.026353,0.01085,-0.02714383543934673,0.01109929550148081
7,21771,158,4,8,0.000296,0.000497,0.107049,0.013021,-0.010372,0.002091,0.014392,-0.006551,0.013953487592516467,-0.006221322502824478
8,21771,119,0,3,0.000296,0.000497,-0.112896,0.007638,0.015646,0.024096,-0.039935,0.01085,-0.0417487362283282,0.01075593639689032
9,21771,149,2,7,0.000296,0.000497,-0.534586,0.016108,-0.000826,0.003895,-0.005981,-0.003426,-0.006732212656061165,-0.004060957755427808
10,21771,127,1,4,0.000296,0.000497,0.091195,-0.005531,0.007191,0.013645,-0.019562,0.008399,-0.020638034970033914,0.00847969028109219
11,21771,135,2,5,0.000296,0.000497,-0.01934,-0.000556,0.002891,0.012796,-0.012772,0.005948,-0.012830054562073201,0.005728115465899464
12,21771,149,2,7,0.000296,0.000497,0.086428,0.008273,0.001168,0.004939,-0.005981,-0.003426,-0.006812314750277437,-0.0034686680519371293
13,21771,143,3,6,0.000296,0.000497,0.090075,0.00287,-0.002261,0.006874,0.00081,-0.000301,-0.0005973109862225101,-0.00012221592118066837
14,21771,120,1,3,0.000296,0.000497,-0.444107,0.010157,0.005261,0.024549,-0.026353,0.01085,-0.028098311100620776,0.010963594613713212
15,21771,131,5,4,0.000296,0.000497,0.056955,0.001375,-0.020551,0.0212,0.034764,0.008399,0.033455392287578434,0.008345927519258112
16,21771,159,5,8,0.000296,0.000497,0.081165,0.017071,-0.021352,0.00105,0.027973,-0.006551,0.027465573279187083,-0.006597874948056415
17,21771,142,2,6,0.000296,0.000497,0.079084,0.00449,0.004995,0.006746,-0.012772,-0.000301,-0.014127909700619057,-0.00010812162497586542
18,21771,138,5,5,0.000296,0.000497,0.043596,0.003094,-0.017949,0.017102,0.027973,0.005948,0.027370333613362163,0.005329483930836432
19,21771,143,3,6,0.000296,0.000497,0.092129,0.004192,-0.001887,0.006597,0.00081,-0.000301,-0.0007687778534091194,-0.00037121475315871066
20,21771,130,4,4,0.000296,0.000497,-0.082061,-0.000912,-0.012556,0.020254,0.021182,0.008399,0.020304522186052054,0.00847798798349686
21,21771,130,4,4,0.000296,0.000497,0.08815,-0.004484,-0.011448,0.016143,0.021182,0.008399,0.019987549050711095,0.008459441043669358
22,21771,130,4,4,0.000296,0.000497,0.083589,-0.006321,-0.011078,0.017285,0.021182,0.008399,0.02016917002038099,0.008973210249678232
23,21771,155,1,8,0.000296,0.000497,-0.04838,0.016364,0.012533,0.003915,-0.026353,-0.006551,-0.02733792777871713,-0.006724073056830093
24,21771,143,3,6,0.000296,0.000497,0.092848,0.005134,-0.00237,0.006007,0.00081,-0.000301,-0.00016469322645207285,-0.0005504897280843579
25,21771,122,3,3,0.000296,0.000497,0.067023,-0.010816,-0.00146,0.012033,0.00081,0.01085,-0.0005513512787729269,0.010474498849362135
26,21771,128,2,4,0.000296,0.000497,0.067524,-0.007493,0.000427,0.011696,-0.005981,0.008399,-0.006234148968360387,0.008309528406243771
27,21771,128,2,4,0.000296,0.000497,0.093585,-0.006989,0.001299,0.011392,-0.005981,0.008399,-0.006575290477485396,0.008096303747151978
28,21771,145,5,6,0.000296,0.000497,-0.335282,0.013122,-0.018438,0.008767,0.027973,-0.000301,0.02681060798931867,-0.0006951142131583765
29,21771,147,0,7,0.000296,0.000497,0.064226,0.013707,0.016479,0.006155,-0.033144,-0.003426,-0.03335663059260696,-0.004128996180952527
30,21771,163,2,9,0.000296,0.000497,-0.483325,0.020068,0.00297,-0.008894,-0.012772,-0.0128,-0.013198929897043854,-0.012835782981710508
31,21771,163,2,9,0.000296,0.000497,0.052893,0.021286,0.00504,-0.002234,-0.012772,-0.0128,-0.013124447839800268,-0.013334106362890452
32,21771,148,1,7,0.000296,0.000497,-0.054304,0.010935,0.008351,0.00661,-0.019562,-0.003426,-0.021357382618589327,-0.0030672628672618885
33,21771,129,3,4,0.000296,0.000497,0.088003,-0.00683,-0.005399,0.012486,0.007601,0.008399,0.007102183997631073,0.008235172819695435
34,21771,131,5,4,0.000296,0.000497,0.110518,0.001212,-0.021967,0.02085,0.034764,0.008399,0.03472697763936594,0.00826873087498825
35,21771,151,4,7,0.000296,0.000497,-0.076281,0.013273,-0.015769,0.005567,0.021182,-0.003426,0.020379458874231204,-0.0034571884243632667
