evtID,runID,CutID,SieveRowID,SieveColID,bpmX,bpmY,focal_x,focal_y,focal_th,focal_ph,targCalTh,targCalPh,predicted_theta,predicted_phi
0,21748,267,1,10,0.001294,-0.000504,-0.189906,0.021567,0.009496,-0.009886,-0.021192,-0.01694,-0.021186314232181758,-0.01685810709022917
1,21748,228,4,4,0.001294,-0.000504,-0.037777,-0.003259,-0.012302,0.017703,0.019547,0.007383,0.019755415618419647,0.007977149012731388
2,21748,241,3,6,0.001294,-0.000504,-0.037008,0.004127,-0.002543,0.00658,-0.000822,-0.001317,-0.0012108216633350821,-0.0007984905832927325
3,21748,233,2,5,0.001294,-0.000504,-0.036995,-0.002302,0.004214,0.010249,-0.014402,0.004932,-0.014845009747659788,0.005241059436229989
4,21748,253,1,8,0.001294,-0.000504,-0.054142,0.014802,0.014061,0.004084,-0.027982,-0.007566,-0.028187669231556356,-0.007156768493587151
5,21748,236,5,5,0.001294,-0.000504,-0.026198,0.00246,-0.017199,0.015598,0.026337,0.004932,0.02658853109460324,0.005096279062854592
6,21748,220,3,3,0.001294,-0.000504,-0.037629,-0.009251,-0.001553,0.013383,-0.000822,0.009833,-0.0015294747881853255,0.00993952299177181
7,21748,235,4,5,0.001294,-0.000504,-0.038899,-0.001559,-0.00858,0.013241,0.012757,0.004932,0.012710222217720002,0.005160587126738392
8,21748,220,3,3,0.001294,-0.000504,-0.203367,-0.005387,-0.003323,0.016929,-0.000822,0.009833,-0.0001883890868157323,0.01032578140439
9,21748,236,5,5,0.001294,-0.000504,-0.148312,0.003981,-0.016476,0.017983,0.026337,0.004932,0.025837488705292344,0.0054549494161619805
10,21748,268,2,10,0.001294,-0.000504,-0.045254,0.021409,0.002209,-0.009203,-0.007612,-0.01694,-0.008077863240032457,-0.016291435837047175
11,21748,222,5,3,0.001294,-0.000504,-0.203333,-0.002505,-0.013798,0.021977,0.026337,0.009833,0.0249156475183554,0.011040446479455568
12,21748,218,1,3,0.001294,-0.000504,-0.057437,-0.004162,0.009394,0.015829,-0.027982,0.009833,-0.02859464770881459,0.010537444017245434
13,21748,241,3,6,0.001294,-0.000504,-0.163047,0.004734,-0.002092,0.005809,-0.000822,-0.001317,-0.001955628347786842,2.1250620605428594e-05
14,21748,228,4,4,0.001294,-0.000504,-0.031124,-0.001864,-0.01272,0.015355,0.019547,0.007383,0.020382543123560026,0.006914558762218803
15,21748,241,3,6,0.001294,-0.000504,-0.035793,0.004671,-0.002406,0.004708,-0.000822,-0.001317,-0.0009725720647111302,-0.0007680530925426865
16,21748,224,0,4,0.001294,-0.000504,-0.06285,0.003228,0.012668,0.016748,-0.034772,0.007383,-0.03402895055478439,0.00795099965762347
17,21748,246,1,7,0.001294,-0.000504,-0.215821,0.012241,0.007991,0.004131,-0.021192,-0.004442,-0.021390862966654822,-0.004337511891208123
18,21748,239,1,6,0.001294,-0.000504,-0.0481,0.007974,0.011802,0.007805,-0.027982,-0.001317,-0.028076900518499315,-0.0006680619089820539
19,21748,245,0,7,0.001294,-0.000504,-0.060086,0.013346,0.01649,0.00708,-0.034772,-0.004442,-0.03487673553172499,-0.003715185943292454
20,21748,228,4,4,0.001294,-0.000504,-0.035911,-0.002649,-0.012367,0.015072,0.019547,0.007383,0.019573411031160504,0.007757857092656195
21,21748,224,0,4,0.001294,-0.000504,-0.038657,0.001601,0.013907,0.015372,-0.034772,0.007383,-0.03474144759820774,0.007973259125719778
22,21748,241,3,6,0.001294,-0.000504,-0.038082,0.003641,-0.001918,0.005966,-0.000822,-0.001317,-0.0017164452856377466,-0.0007384271184491809
23,21748,253,1,8,0.001294,-0.000504,-0.059354,0.015421,0.012964,0.00156,-0.027982,-0.007566,-0.02804530068533495,-0.007105653829057701
24,21748,226,2,4,0.001294,-0.000504,-0.035711,-0.006421,0.001049,0.011547,-0.007612,0.007383,-0.007800189239787869,0.007803387212334201
25,21748,227,3,4,0.001294,-0.000504,-0.037348,-0.006081,-0.00467,0.013527,0.005968,0.007383,0.005821073078550398,0.007634518944541924
26,21748,218,1,3,0.001294,-0.000504,-0.058748,-0.003471,0.009309,0.016126,-0.027982,0.009833,-0.028403894510120153,0.01021748450875748
27,21748,240,2,6,0.001294,-0.000504,-0.241671,0.008746,0.003724,0.006764,-0.014402,-0.001317,-0.014399992302060127,-0.0008350661364602274
28,21748,228,4,4,0.001294,-0.000504,-0.032613,-0.002638,-0.011955,0.01648,0.019547,0.007383,0.019474087981507182,0.007654600092791952
