evtID,runID,CutID,SieveRowID,SieveColID,bpmX,bpmY,focal_x,focal_y,focal_th,focal_ph,targCalTh,targCalPh,predicted_theta,predicted_phi
0,21785,130,4,4,0.000293,-0.00051,0.071924,-0.005234,-0.011201,0.014726,0.019541,0.008402,0.01936971678514965,0.008286466312711127
1,21785,126,0,4,0.000293,-0.00051,0.080415,-0.001386,0.014506,0.013587,-0.034786,0.008402,-0.035303665965329856,0.008211396852857433
2,21785,150,3,7,0.000293,-0.00051,-0.159671,0.00983,-0.007474,0.00233,0.005959,-0.003423,0.006119179961387999,-0.004129667599045206
3,21785,143,3,6,0.000293,-0.00051,-0.359828,0.006925,-0.003159,0.002027,-0.000832,-0.000298,-0.0011121119987365091,-0.0016871107309270883
4,21785,121,2,3,0.000293,-0.00051,0.09025,-0.011802,0.00367,0.012078,-0.014413,0.010853,-0.01456427006633021,0.010952479395200498
5,21785,126,0,4,0.000293,-0.00051,0.08141,-0.000916,0.014752,0.013503,-0.034786,0.008402,-0.03467788873240352,0.007913122462923639
6,21785,165,4,9,0.000293,-0.00051,-0.200219,0.019549,-0.012436,-0.009816,0.01275,-0.012798,0.012890751240774989,-0.01320286956615746
7,21785,136,3,5,0.000293,-0.00051,-0.110399,-0.002467,-0.003206,0.011039,-0.000832,0.005951,-0.00020417179740661595,0.005880675118532963
8,21785,135,2,5,0.000293,-0.00051,0.045837,-0.005233,0.004873,0.009159,-0.014413,0.005951,-0.01513397486996837,0.006221372910658829
9,21785,151,4,7,0.000293,-0.00051,0.109536,0.008374,-0.015115,0.003446,0.019541,-0.003423,0.019868137896992266,-0.0029426947476167697
10,21785,130,4,4,0.000293,-0.00051,0.083855,-0.005351,-0.01118,0.014808,0.019541,0.008402,0.019535656814696267,0.008236807421781123
11,21785,149,2,7,0.000293,-0.00051,0.069792,0.00573,0.002315,0.002051,-0.007623,-0.003423,-0.008192384106223471,-0.0031713795106043108
12,21785,126,0,4,0.000293,-0.00051,0.080531,-0.002035,0.014701,0.013207,-0.034786,0.008402,-0.03536351374350488,0.008782405682723038
13,21785,130,4,4,0.000293,-0.00051,0.097604,-0.005978,-0.011149,0.014551,0.019541,0.008402,0.019542885303962976,0.00809650676092133
14,21785,163,2,9,0.000293,-0.00051,-0.049149,0.017367,0.005805,-0.00444,-0.014413,-0.012798,-0.014617292647017166,-0.012351318815490231
15,21785,123,4,3,0.000293,-0.00051,-0.116183,-0.006231,-0.008035,0.019364,0.01275,0.010853,0.013056730997050181,0.01075692223093938
16,21785,128,2,4,0.000293,-0.00051,0.088279,-0.00953,0.001422,0.009667,-0.007623,0.008402,-0.00791917074820958,0.008378572267247364
17,21785,134,1,5,0.000293,-0.00051,0.082006,-0.001755,0.011152,0.011146,-0.027995,0.005951,-0.02817636850522831,0.005988343647914007
18,21785,138,5,5,0.000293,-0.00051,0.10646,-0.000803,-0.015444,0.014914,0.026331,0.005951,0.026201233791653067,0.005662286792357918
19,21785,159,5,8,0.000293,-0.00051,0.116266,0.013536,-0.019161,0.001115,0.026331,-0.006548,0.02584223123267293,-0.0062542068044422194
20,21785,159,5,8,0.000293,-0.00051,0.116639,0.013998,-0.018972,-0.000185,0.026331,-0.006548,0.02544854726875201,-0.0063805265235714614
21,21785,120,1,3,0.000293,-0.00051,0.07524,-0.007333,0.010753,0.013133,-0.027995,0.010853,-0.02867532492382452,0.010818463924806565
22,21785,129,3,4,0.000293,-0.00051,0.09368,-0.010682,-0.004426,0.010756,0.005959,0.008402,0.006814558735641185,0.008936932936194353
23,21785,143,3,6,0.000293,-0.00051,-0.031388,0.005202,-0.002465,0.005086,-0.000832,-0.000298,-0.0004439014596755442,-0.0007236580322569353
24,21785,127,1,4,0.000293,-0.00051,0.087934,-0.007241,0.007019,0.010585,-0.021204,0.008402,-0.021072704839752987,0.00842693638696801
25,21785,123,4,3,0.000293,-0.00051,0.090498,-0.013083,-0.007065,0.013282,0.01275,0.010853,0.012825835321564227,0.011769922508392483
26,21785,185,3,12,0.000293,-0.00051,-0.05998,0.027938,-0.007999,-0.018273,0.005959,-0.022172,0.005808548325148877,-0.02249184882384725
