evtID,runID,CutID,SieveRowID,SieveColID,bpmX,bpmY,focal_x,focal_y,focal_th,focal_ph,targCalTh,targCalPh,predicted_theta,predicted_phi
0,21754,326,4,4,-0.000682,-0.000506,-0.161637,-0.002952,-0.011744,0.019226,0.01955,0.009395,0.01983710378408432,0.009071015345398337
1,21754,323,1,4,-0.000682,-0.000506,-0.153458,-0.002637,0.005138,0.015116,-0.021201,0.009395,-0.02054241090081632,0.008617145867901854
2,21754,362,5,9,-0.000682,-0.000506,-0.149922,0.020499,-0.02175,-0.011592,0.026341,-0.011807,0.02571129862917587,-0.01245121270767413
3,21754,344,1,7,-0.000682,-0.000506,-0.295833,0.010744,0.007107,0.003463,-0.021201,-0.002431,-0.0214442826109007,-0.002923846521298401
4,21754,338,2,6,-0.000682,-0.000506,-0.197978,0.004571,0.003879,0.007116,-0.014409,0.000694,-0.01473063975572586,0.0007167737194322399
5,21754,351,1,8,-0.000682,-0.000506,-0.230062,0.013933,0.011441,0.003033,-0.027992,-0.005557,-0.02783265698235482,-0.00602163425355684
6,21754,344,1,7,-0.000682,-0.000506,-0.171174,0.00899,0.007638,0.004285,-0.021201,-0.002431,-0.021164948208024725,-0.0025585267903807107
7,21754,351,1,8,-0.000682,-0.000506,-0.172262,0.013123,0.011736,0.002719,-0.027992,-0.005557,-0.027662530774250627,-0.005867470943485387
8,21754,339,3,6,-0.000682,-0.000506,-0.160129,0.00342,-0.003638,0.00687,-0.000825,0.000694,-0.000473970558914516,0.00034191004829153826
9,21754,323,1,4,-0.000682,-0.000506,-0.154957,-0.002491,0.005718,0.014061,-0.021201,0.009395,-0.021241853246465325,0.008672902113175951
10,21754,330,1,5,-0.000682,-0.000506,-0.15732,0.002207,0.009959,0.013746,-0.027992,0.006944,-0.0280913274618797,0.006705291292746551
11,21754,338,2,6,-0.000682,-0.000506,-0.161589,0.004055,0.004426,0.0067,-0.014409,0.000694,-0.0146999558492098,0.000661428119201446
12,21754,339,3,6,-0.000682,-0.000506,-0.158041,0.003329,-0.002598,0.007656,-0.000825,0.000694,-0.0009495486456216895,0.0005305304425746726
13,21754,354,4,8,-0.000682,-0.000506,-0.15304,0.011031,-0.010814,-0.000126,0.012758,-0.005557,0.012322150636464357,-0.005636034344206564
14,21754,324,2,4,-0.000682,-0.000506,-0.158995,-0.006159,-0.000212,0.014096,-0.007617,0.009395,-0.007512077965657227,0.009313618516898714
15,21754,339,3,6,-0.000682,-0.000506,-0.156882,0.002973,-0.002229,0.005694,-0.000825,0.000694,-0.0011396752997825388,0.00048166657870751806
