evtID,runID,CutID,SieveRowID,SieveColID,bpmX,bpmY,focal_x,focal_y,focal_th,focal_ph,targCalTh,targCalPh,predicted_theta,predicted_phi
0,21755,326,4,4,0.001278,-0.000486,-0.263112,0.001835,-0.011843,0.021984,0.019577,0.007399,0.018374820880126208,0.008381958366953768
1,21755,360,3,9,0.001278,-0.000486,-0.188439,0.018465,-0.004057,-0.008402,-0.000793,-0.013799,-0.00021806132670931788,-0.013483568996889517
2,21755,323,1,4,0.001278,-0.000486,-0.155501,-0.001004,0.005583,0.015709,-0.021162,0.007399,-0.021074019343359396,0.007909945852588862
3,21755,326,4,4,0.001278,-0.000486,-0.16148,-0.001524,-0.011907,0.01885,0.019577,0.007399,0.01952972184517421,0.008234641383751296
4,21755,320,5,3,0.001278,-0.000486,-0.190369,-7.7e-05,-0.014679,0.024917,0.026367,0.00985,0.026140791771467775,0.0105481582286302
5,21755,353,3,8,0.001278,-0.000486,-0.159382,0.011952,-0.003025,-4e-05,-0.000793,-0.00755,-0.0009685401601018384,-0.006973393479711376
6,21755,351,1,8,0.001278,-0.000486,-0.317759,0.01648,0.010391,0.001131,-0.027952,-0.00755,-0.026980890950653702,-0.006892994832014665
7,21755,316,1,3,0.001278,-0.000486,-0.316639,0.00491,0.007669,0.022852,-0.027952,0.00985,-0.028173438389785588,0.010687087880796753
8,21755,325,3,4,0.001278,-0.000486,-0.175792,-0.002664,-0.005601,0.016271,0.005997,0.007399,0.006015404003846925,0.0076755985646741465
9,21755,319,4,3,0.001278,-0.000486,-0.163725,-0.00591,-0.008211,0.019353,0.012787,0.00985,0.013500156812369823,0.01066780743713025
10,21755,332,3,5,0.001278,-0.000486,-0.167688,-0.000616,-0.002715,0.012687,-0.000793,0.004948,-0.0009577419386914698,0.005231173388892785
11,21755,326,4,4,0.001278,-0.000486,-0.207039,0.000723,-0.012318,0.019994,0.019577,0.007399,0.019839843385852873,0.008030939658056013
12,21755,347,4,7,0.001278,-0.000486,-0.151766,0.01193,-0.015432,0.002448,0.019577,-0.004425,0.019564357382478192,-0.004210616592899896
13,21755,323,1,4,0.001278,-0.000486,-0.157117,-0.001419,0.005566,0.014821,-0.021162,0.007399,-0.020958777953637764,0.008306522518978454
14,21755,345,2,7,0.001278,-0.000486,-0.163175,0.01043,-0.000112,0.003609,-0.007583,-0.004425,-0.007259408332174644,-0.0041005895036505535
15,21755,331,2,5,0.001278,-0.000486,-0.156046,0.000268,0.003727,0.011384,-0.014373,0.004948,-0.014558175869751722,0.0052013903768965974
16,21755,319,4,3,0.001278,-0.000486,-0.164184,-0.005338,-0.00806,0.019246,0.012787,0.00985,0.01285025238757953,0.01016180741135031
